opportunity_id,lead_id,opp_created_date,product_line,region,nam_owner,client_type,deal_value_usd,competitive_deal_flag,used_fasttrack_approval,period,final_stage,status,status_reason,closed_date
OPP-P1-00015,L-P1-00030,19-03-2024,Digital Signage,South,J. Sullivan,Mixed-Use Development,35930,FALSE,FALSE,P1,Close,Lost,Lost Contact,27-03-2024
OPP-P1-00016,L-P1-00036,05-02-2024,Digital Signage,Northeast,L. Fitzgerald,Campus,36118,FALSE,FALSE,P1,Propose,Lost,Lost Contact,21-02-2024
OPP-P1-00017,L-P1-00042,02-03-2024,Video Analytics,Midwest,K. Romano,Enterprise Business,15961,FALSE,FALSE,P1,Propose,Lost,Lost Contact,02-04-2024
OPP-P1-00018,L-P1-00043,20-08-2024,Digital Signage,Midwest,D. Singh,Enterprise Business,48246,TRUE,FALSE,P1,Qualify,Lost,Budget Cut,21-08-2024
OPP-P1-00019,L-P1-00050,14-11-2024,Smart Buildings,South,K. Romano,Campus,19164,FALSE,FALSE,P1,Propose,Lost,Budget Cut,19-12-2024
OPP-P1-00020,L-P1-00051,14-06-2024,Smart Mobility (EV/Parking),Northeast,T. Chen,Municipality,18603,TRUE,FALSE,P1,Propose,Lost,Pricing,21-07-2024
OPP-P1-00021,L-P1-00056,29-03-2024,Smart Mobility (EV/Parking),South,K. Romano,Multifamily Property,29500,FALSE,FALSE,P1,Close,Won,Won,17-04-2024
OPP-P1-00022,L-P1-00059,06-08-2024,Smart Lighting,South,D. Singh,Municipality,25418,TRUE,FALSE,P1,Develop,Lost,Timeline Mismatch,08-08-2024
OPP-P1-00023,L-P1-00060,05-11-2024,Digital Signage,South,T. Chen,Mixed-Use Development,62565,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,06-11-2024
OPP-P1-00024,L-P1-00063,09-07-2024,Video Analytics,Northeast,M. Okafor,Campus,130291,TRUE,FALSE,P1,Propose,Lost,Competitor Presence,30-07-2024
OPP-P1-00025,L-P1-00064,24-12-2024,Smart Buildings,South,M. Okafor,Mixed-Use Development,51164,TRUE,FALSE,P1,Close,Lost,Competitor Presence,13-01-2025
OPP-P1-00026,L-P1-00066,10-06-2024,Digital Signage,Midwest,S. Patel,Campus,15771,FALSE,FALSE,P1,Qualify,Lost,Budget Cut,11-06-2024
OPP-P1-00027,L-P1-00074,02-01-2024,Digital Signage,Midwest,M. Okafor,Multifamily Property,23239,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,03-01-2024
OPP-P1-00028,L-P1-00075,23-05-2024,Video Analytics,West,S. Patel,Enterprise Business,56105,FALSE,FALSE,P1,Develop,Lost,Lost Contact,25-05-2024
OPP-P1-00029,L-P1-00085,19-01-2024,Digital Signage,South,S. Patel,Mixed-Use Development,14889,FALSE,FALSE,P1,Close,Won,Won,29-03-2024
OPP-P1-00030,L-P1-00086,16-12-2024,Smart Buildings,Midwest,J. Sullivan,Municipality,223678,TRUE,FALSE,P1,Propose,Lost,Timeline Mismatch,12-01-2025
OPP-P1-00031,L-P1-00095,05-01-2024,Digital Signage,South,S. Patel,Multifamily Property,18464,TRUE,FALSE,P1,Propose,Lost,Pricing,03-02-2024
OPP-P1-00032,L-P1-00097,02-08-2024,Smart Mobility (EV/Parking),Midwest,D. Singh,Multifamily Property,8000,FALSE,FALSE,P1,Propose,Lost,Product Fit,14-08-2024
OPP-P1-00033,L-P1-00107,12-10-2024,Smart Lighting,Northeast,S. Patel,Enterprise Business,20669,TRUE,FALSE,P1,Develop,Lost,Product Fit,14-10-2024
OPP-P1-00034,L-P1-00109,10-05-2024,Smart Buildings,Northeast,D. Singh,Enterprise Business,17170,FALSE,FALSE,P1,Propose,Lost,Lost Contact,14-06-2024
OPP-P1-00035,L-P1-00110,22-04-2024,Smart Buildings,South,L. Fitzgerald,Mixed-Use Development,26980,FALSE,FALSE,P1,Propose,Lost,Budget Cut,22-05-2024
OPP-P1-00036,L-P1-00111,13-11-2024,Digital Signage,Midwest,S. Patel,Campus,23006,TRUE,FALSE,P1,Qualify,Lost,Timeline Mismatch,14-11-2024
OPP-P1-00037,L-P1-00113,08-02-2024,Digital Signage,West,M. Okafor,Enterprise Business,33735,FALSE,FALSE,P1,Propose,Lost,Pricing,27-02-2024
OPP-P1-00038,L-P1-00115,17-04-2024,Smart Buildings,West,R. Alvarez,Multifamily Property,18103,TRUE,FALSE,P1,Develop,Lost,Lost Contact,19-04-2024
OPP-P1-00039,L-P1-00119,07-11-2024,Smart Mobility (EV/Parking),West,T. Chen,Mixed-Use Development,48404,FALSE,FALSE,P1,Propose,Lost,Lost Contact,17-12-2024
OPP-P1-00040,L-P1-00122,10-08-2024,Smart Buildings,Northeast,M. Okafor,Municipality,21271,FALSE,FALSE,P1,Qualify,Lost,Lost Contact,11-08-2024
OPP-P1-00041,L-P1-00128,02-05-2024,Smart Lighting,Midwest,M. Okafor,Multifamily Property,111984,FALSE,FALSE,P1,Propose,Lost,Timeline Mismatch,31-05-2024
OPP-P1-00042,L-P1-00133,07-10-2024,Smart Mobility (EV/Parking),Northeast,D. Singh,Enterprise Business,26543,FALSE,FALSE,P1,Close,Won,Won,17-10-2024
OPP-P1-00043,L-P1-00135,11-04-2024,Smart Buildings,Midwest,L. Fitzgerald,Municipality,51589,FALSE,FALSE,P1,Develop,Lost,Lost Contact,13-04-2024
OPP-P1-00044,L-P1-00136,03-10-2024,Video Analytics,South,K. Romano,Municipality,39586,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,11-10-2024
OPP-P1-00045,L-P1-00137,28-08-2024,Digital Signage,Northeast,J. Sullivan,Mixed-Use Development,12647,FALSE,FALSE,P1,Propose,Lost,Budget Cut,26-09-2024
OPP-P1-00046,L-P1-00140,09-01-2024,Smart Lighting,West,S. Patel,Campus,28147,FALSE,FALSE,P1,Develop,Lost,Budget Cut,11-01-2024
OPP-P1-00047,L-P1-00149,19-10-2024,Smart Mobility (EV/Parking),West,R. Alvarez,Enterprise Business,29436,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,20-10-2024
OPP-P1-00048,L-P1-00151,25-04-2024,Video Analytics,South,M. Okafor,Campus,24190,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,26-04-2024
OPP-P1-00049,L-P1-00154,17-08-2024,Smart Mobility (EV/Parking),West,R. Alvarez,Multifamily Property,34503,FALSE,FALSE,P1,Propose,Lost,Lost Contact,28-08-2024
OPP-P1-00050,L-P1-00155,13-07-2024,Digital Signage,Northeast,K. Romano,Enterprise Business,52805,FALSE,FALSE,P1,Qualify,Lost,Budget Cut,14-07-2024
OPP-P1-00051,L-P1-00161,21-12-2024,Smart Buildings,South,D. Singh,Municipality,30606,TRUE,FALSE,P1,Propose,Lost,Budget Cut,19-01-2025
OPP-P1-00052,L-P1-00162,20-02-2024,Smart Lighting,West,L. Fitzgerald,Multifamily Property,13581,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,21-02-2024
OPP-P1-00053,L-P1-00165,06-12-2024,Digital Signage,West,S. Patel,Municipality,9729,FALSE,FALSE,P1,Close,Won,Won,18-12-2024
OPP-P1-00054,L-P1-00170,27-11-2024,Video Analytics,South,J. Sullivan,Municipality,8000,FALSE,FALSE,P1,Qualify,Lost,Product Fit,28-11-2024
OPP-P1-00055,L-P1-00171,11-02-2024,Smart Mobility (EV/Parking),Northeast,K. Romano,Enterprise Business,9420,FALSE,FALSE,P1,Qualify,Lost,Product Fit,12-02-2024
OPP-P1-00056,L-P1-00174,02-08-2024,Smart Mobility (EV/Parking),West,M. Okafor,Campus,11001,TRUE,FALSE,P1,Close,Lost,Budget Cut,22-08-2024
OPP-P1-00057,L-P1-00185,30-10-2024,Smart Mobility (EV/Parking),West,S. Patel,Campus,83671,FALSE,FALSE,P1,Qualify,Lost,Timeline Mismatch,31-10-2024
OPP-P1-00058,L-P1-00187,17-03-2024,Smart Buildings,South,J. Sullivan,Enterprise Business,36781,TRUE,FALSE,P1,Propose,Lost,Pricing,05-04-2024
OPP-P1-00059,L-P1-00191,18-08-2024,Digital Signage,West,J. Sullivan,Enterprise Business,82984,TRUE,FALSE,P1,Propose,Lost,Pricing,13-09-2024
OPP-P1-00060,L-P1-00201,23-04-2024,Smart Lighting,Northeast,K. Romano,Enterprise Business,25819,FALSE,FALSE,P1,Develop,Lost,Lost Contact,25-04-2024
OPP-P1-00061,L-P1-00207,05-06-2024,Smart Buildings,South,K. Romano,Multifamily Property,27366,FALSE,FALSE,P1,Qualify,Lost,Lost Contact,23-06-2026
OPP-P1-00062,L-P1-00217,28-01-2024,Digital Signage,Midwest,D. Singh,Mixed-Use Development,21647,TRUE,FALSE,P1,Propose,Lost,Competitor Presence,09-03-2024
OPP-P1-00063,L-P1-00229,04-03-2024,Smart Lighting,Midwest,L. Fitzgerald,Mixed-Use Development,12366,FALSE,FALSE,P1,Develop,Lost,Product Fit,06-03-2024
OPP-P1-00064,L-P1-00231,23-04-2024,Digital Signage,Northeast,M. Okafor,Municipality,20715,TRUE,FALSE,P1,Propose,Lost,Timeline Mismatch,26-05-2024
OPP-P1-00065,L-P1-00234,12-09-2024,Digital Signage,South,D. Singh,Enterprise Business,43964,FALSE,FALSE,P1,Develop,Lost,Budget Cut,14-09-2024
OPP-P1-00066,L-P1-00235,31-10-2024,Video Analytics,Midwest,R. Alvarez,Enterprise Business,36523,FALSE,FALSE,P1,Propose,Lost,Pricing,25-11-2024
OPP-P1-00067,L-P1-00237,26-12-2024,Smart Buildings,Midwest,M. Okafor,Municipality,14213,TRUE,FALSE,P1,Propose,Lost,Competitor Presence,29-01-2025
OPP-P1-00068,L-P1-00243,02-04-2024,Smart Lighting,South,D. Singh,Mixed-Use Development,8958,TRUE,FALSE,P1,Propose,Lost,Competitor Presence,17-06-2024
OPP-P1-00069,L-P1-00244,01-04-2024,Digital Signage,West,L. Fitzgerald,Campus,14789,FALSE,FALSE,P1,Develop,Lost,Budget Cut,03-04-2024
OPP-P1-00070,L-P1-00248,02-04-2024,Video Analytics,Midwest,J. Sullivan,Municipality,25581,FALSE,FALSE,P1,Propose,Lost,Pricing,09-05-2024
OPP-P1-00071,L-P1-00249,14-12-2024,Video Analytics,Midwest,D. Singh,Mixed-Use Development,9054,TRUE,FALSE,P1,Propose,Lost,Pricing,01-01-2025
OPP-P1-00072,L-P1-00250,12-12-2024,Smart Buildings,West,J. Sullivan,Multifamily Property,29146,TRUE,FALSE,P1,Develop,Lost,Budget Cut,14-12-2024
OPP-P1-00073,L-P1-00251,02-05-2024,Smart Lighting,Northeast,R. Alvarez,Campus,18948,FALSE,FALSE,P1,Develop,Lost,Budget Cut,04-05-2024
OPP-P1-00074,L-P1-00258,22-04-2024,Smart Buildings,Midwest,S. Patel,Mixed-Use Development,38643,FALSE,FALSE,P1,Propose,Lost,Product Fit,29-05-2024
OPP-P1-00075,L-P1-00266,31-08-2024,Video Analytics,West,S. Patel,Enterprise Business,28076,TRUE,FALSE,P1,Develop,Lost,Product Fit,02-09-2024
OPP-P1-00076,L-P1-00267,22-05-2024,Video Analytics,West,L. Fitzgerald,Municipality,49810,FALSE,FALSE,P1,Develop,Lost,Timeline Mismatch,24-05-2024
OPP-P1-00077,L-P1-00271,14-12-2024,Digital Signage,Midwest,M. Okafor,Municipality,28047,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,15-12-2024
OPP-P1-00078,L-P1-00274,15-04-2024,Smart Lighting,West,L. Fitzgerald,Enterprise Business,21228,TRUE,FALSE,P1,Qualify,Lost,Budget Cut,16-04-2024
OPP-P1-00079,L-P1-00277,14-07-2024,Smart Lighting,Northeast,R. Alvarez,Multifamily Property,25567,FALSE,FALSE,P1,Qualify,Lost,Product Fit,15-07-2024
OPP-P1-00080,L-P1-00282,16-08-2024,Video Analytics,West,T. Chen,Municipality,21590,TRUE,FALSE,P1,Close,Won,Won,01-09-2024
OPP-P1-00081,L-P1-00283,30-10-2024,Smart Mobility (EV/Parking),West,T. Chen,Municipality,23360,FALSE,FALSE,P1,Qualify,Lost,Timeline Mismatch,31-10-2024
OPP-P1-00082,L-P1-00287,27-06-2024,Smart Lighting,West,R. Alvarez,Enterprise Business,41264,FALSE,FALSE,P1,Qualify,Lost,Lost Contact,28-06-2024
OPP-P1-00083,L-P1-00293,10-12-2024,Smart Buildings,Midwest,L. Fitzgerald,Municipality,10071,TRUE,FALSE,P1,Propose,Lost,Pricing,23-12-2024
OPP-P1-00084,L-P1-00294,09-04-2024,Video Analytics,Midwest,M. Okafor,Mixed-Use Development,21275,TRUE,FALSE,P1,Propose,Lost,Pricing,23-04-2024
OPP-P1-00085,L-P1-00299,13-09-2024,Smart Mobility (EV/Parking),West,K. Romano,Municipality,104872,TRUE,FALSE,P1,Develop,Lost,Timeline Mismatch,15-09-2024
OPP-P1-00086,L-P1-00302,10-06-2024,Smart Lighting,South,T. Chen,Mixed-Use Development,14072,FALSE,FALSE,P1,Propose,Lost,Budget Cut,29-07-2024
OPP-P1-00087,L-P1-00305,28-04-2024,Smart Mobility (EV/Parking),West,M. Okafor,Municipality,16225,TRUE,FALSE,P1,Propose,Lost,Pricing,04-06-2024
OPP-P1-00088,L-P1-00308,03-12-2024,Smart Lighting,West,K. Romano,Enterprise Business,26255,FALSE,FALSE,P1,Develop,Lost,Budget Cut,05-12-2024
OPP-P1-00089,L-P1-00314,26-01-2024,Digital Signage,Midwest,M. Okafor,Mixed-Use Development,19144,FALSE,FALSE,P1,Propose,Lost,Timeline Mismatch,19-03-2024
OPP-P1-00090,L-P1-00321,09-01-2024,Smart Lighting,Northeast,K. Romano,Enterprise Business,20898,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,14-02-2024
OPP-P1-00091,L-P1-00324,16-12-2024,Smart Buildings,West,R. Alvarez,Municipality,13638,TRUE,FALSE,P1,Propose,Lost,Competitor Presence,30-01-2025
OPP-P1-00092,L-P1-00342,02-12-2024,Smart Lighting,South,K. Romano,Multifamily Property,113049,TRUE,FALSE,P1,Develop,Lost,Budget Cut,04-12-2024
OPP-P1-00093,L-P1-00366,06-09-2024,Smart Buildings,Midwest,T. Chen,Multifamily Property,33798,FALSE,FALSE,P1,Qualify,Lost,Budget Cut,07-09-2024
OPP-P1-00094,L-P1-00367,16-10-2024,Smart Lighting,West,S. Patel,Multifamily Property,40498,TRUE,FALSE,P1,Propose,Lost,Competitor Presence,13-11-2024
OPP-P1-00095,L-P1-00368,01-02-2024,Digital Signage,South,J. Sullivan,Multifamily Property,24653,TRUE,FALSE,P1,Close,Won,Won,13-02-2024
OPP-P1-00096,L-P1-00370,07-10-2024,Smart Lighting,West,K. Romano,Campus,15168,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,08-10-2024
OPP-P1-00097,L-P1-00373,09-10-2024,Smart Mobility (EV/Parking),South,D. Singh,Multifamily Property,19809,FALSE,FALSE,P1,Close,Won,Won,22-10-2024
OPP-P1-00098,L-P1-00378,04-05-2024,Smart Lighting,West,L. Fitzgerald,Mixed-Use Development,54485,FALSE,FALSE,P1,Qualify,Lost,Product Fit,05-05-2024
OPP-P1-00099,L-P1-00381,26-04-2024,Smart Lighting,South,T. Chen,Campus,25217,TRUE,FALSE,P1,Propose,Lost,Competitor Presence,07-07-2024
OPP-P1-00100,L-P1-00382,17-04-2024,Video Analytics,South,D. Singh,Mixed-Use Development,11804,FALSE,FALSE,P1,Propose,Lost,Pricing,25-05-2024
OPP-P1-00101,L-P1-00384,22-04-2024,Smart Buildings,Midwest,D. Singh,Multifamily Property,90509,FALSE,FALSE,P1,Close,Won,Won,13-05-2024
OPP-P1-00102,L-P1-00385,18-02-2024,Video Analytics,South,R. Alvarez,Enterprise Business,15704,TRUE,FALSE,P1,Propose,Lost,Competitor Presence,07-04-2024
OPP-P1-00103,L-P1-00394,15-01-2024,Smart Buildings,South,L. Fitzgerald,Campus,37328,TRUE,FALSE,P1,Close,Lost,Competitor Presence,28-01-2024
OPP-P1-00104,L-P1-00399,13-06-2024,Smart Buildings,West,R. Alvarez,Municipality,42661,FALSE,FALSE,P1,Propose,Lost,Lost Contact,02-07-2024
OPP-P1-00105,L-P1-00407,27-08-2024,Smart Lighting,Midwest,D. Singh,Mixed-Use Development,34869,FALSE,FALSE,P1,Qualify,Lost,Lost Contact,28-08-2024
OPP-P1-00106,L-P1-00408,21-03-2024,Digital Signage,West,D. Singh,Multifamily Property,16220,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,22-03-2024
OPP-P1-00107,L-P1-00416,21-10-2024,Smart Lighting,Midwest,T. Chen,Campus,31529,FALSE,FALSE,P1,Propose,Lost,Budget Cut,29-11-2024
OPP-P1-00108,L-P1-00434,01-07-2024,Smart Buildings,West,M. Okafor,Municipality,58966,FALSE,FALSE,P1,Develop,Lost,Timeline Mismatch,03-07-2024
OPP-P1-00109,L-P1-00435,04-01-2024,Smart Lighting,South,T. Chen,Campus,37461,TRUE,FALSE,P1,Qualify,Lost,Timeline Mismatch,05-01-2024
OPP-P1-00110,L-P1-00438,29-10-2024,Smart Buildings,Midwest,D. Singh,Municipality,37010,TRUE,FALSE,P1,Qualify,Lost,Budget Cut,30-10-2024
OPP-P1-00111,L-P1-00445,23-12-2024,Smart Lighting,South,S. Patel,Multifamily Property,44202,FALSE,FALSE,P1,Propose,Lost,Lost Contact,06-02-2025
OPP-P1-00112,L-P1-00446,23-07-2024,Smart Lighting,Midwest,L. Fitzgerald,Mixed-Use Development,46945,FALSE,FALSE,P1,Propose,Lost,Lost Contact,19-09-2024
OPP-P1-00113,L-P1-00450,10-06-2024,Smart Lighting,West,J. Sullivan,Enterprise Business,69149,FALSE,FALSE,P1,Propose,Lost,Timeline Mismatch,19-07-2024
OPP-P1-00114,L-P1-00456,10-03-2024,Smart Mobility (EV/Parking),West,L. Fitzgerald,Enterprise Business,31751,FALSE,FALSE,P1,Propose,Lost,Timeline Mismatch,18-04-2024
OPP-P1-00115,L-P1-00466,20-10-2024,Smart Mobility (EV/Parking),South,L. Fitzgerald,Municipality,36921,FALSE,FALSE,P1,Qualify,Lost,Product Fit,21-10-2024
OPP-P1-00116,L-P1-00467,15-03-2024,Digital Signage,South,S. Patel,Mixed-Use Development,37681,TRUE,FALSE,P1,Qualify,Lost,Product Fit,16-03-2024
OPP-P1-00117,L-P1-00478,30-03-2024,Smart Mobility (EV/Parking),West,S. Patel,Multifamily Property,19849,FALSE,FALSE,P1,Propose,Lost,Lost Contact,11-04-2024
OPP-P1-00118,L-P1-00479,26-04-2024,Video Analytics,Northeast,T. Chen,Enterprise Business,41765,TRUE,FALSE,P1,Propose,Lost,Budget Cut,13-05-2024
OPP-P1-00119,L-P1-00484,01-03-2024,Video Analytics,Northeast,T. Chen,Campus,8547,TRUE,FALSE,P1,Propose,Lost,Pricing,15-04-2024
OPP-P1-00120,L-P1-00485,28-08-2024,Digital Signage,West,R. Alvarez,Multifamily Property,39846,TRUE,FALSE,P1,Develop,Lost,Timeline Mismatch,30-08-2024
OPP-P1-00121,L-P1-00489,15-08-2024,Smart Buildings,Midwest,M. Okafor,Multifamily Property,32484,TRUE,FALSE,P1,Propose,Lost,Product Fit,15-09-2024
OPP-P1-00122,L-P1-00491,18-01-2024,Smart Lighting,West,L. Fitzgerald,Mixed-Use Development,19341,TRUE,FALSE,P1,Develop,Lost,Product Fit,20-01-2024
OPP-P1-00123,L-P1-00492,14-04-2024,Video Analytics,West,K. Romano,Enterprise Business,50734,TRUE,FALSE,P1,Propose,Lost,Pricing,10-05-2024
OPP-P1-00124,L-P1-00502,29-07-2024,Smart Lighting,West,T. Chen,Multifamily Property,22073,FALSE,FALSE,P1,Close,Lost,Product Fit,14-08-2024
OPP-P1-00125,L-P1-00511,23-06-2024,Smart Mobility (EV/Parking),Northeast,L. Fitzgerald,Mixed-Use Development,14571,FALSE,FALSE,P1,Propose,Lost,Budget Cut,18-07-2024
OPP-P1-00126,L-P1-00520,12-12-2024,Smart Lighting,Northeast,R. Alvarez,Mixed-Use Development,14276,TRUE,FALSE,P1,Qualify,Lost,Product Fit,13-12-2024
OPP-P1-00127,L-P1-00527,09-09-2024,Video Analytics,South,K. Romano,Enterprise Business,23330,TRUE,FALSE,P1,Develop,Lost,Lost Contact,11-09-2024
OPP-P1-00128,L-P1-00528,10-04-2024,Digital Signage,Midwest,S. Patel,Enterprise Business,11139,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,11-04-2024
OPP-P1-00129,L-P1-00532,09-04-2024,Smart Lighting,Northeast,D. Singh,Multifamily Property,25712,FALSE,FALSE,P1,Qualify,Lost,Timeline Mismatch,10-04-2024
OPP-P1-00130,L-P1-00541,09-06-2024,Smart Buildings,Northeast,R. Alvarez,Mixed-Use Development,11458,TRUE,FALSE,P1,Develop,Lost,Product Fit,11-06-2024
OPP-P1-00131,L-P1-00545,11-06-2024,Smart Lighting,Midwest,M. Okafor,Enterprise Business,33536,TRUE,FALSE,P1,Propose,Lost,Competitor Presence,05-07-2024
OPP-P1-00132,L-P1-00550,24-10-2024,Smart Mobility (EV/Parking),Northeast,J. Sullivan,Enterprise Business,39139,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,25-10-2024
OPP-P1-00133,L-P1-00553,24-07-2024,Smart Mobility (EV/Parking),Midwest,M. Okafor,Enterprise Business,23121,TRUE,FALSE,P1,Develop,Lost,Pricing,26-07-2024
OPP-P1-00134,L-P1-00558,06-01-2024,Smart Mobility (EV/Parking),West,J. Sullivan,Municipality,52657,FALSE,FALSE,P1,Qualify,Lost,Lost Contact,07-01-2024
OPP-P1-00135,L-P1-00566,18-07-2024,Video Analytics,South,R. Alvarez,Municipality,28540,FALSE,FALSE,P1,Qualify,Lost,Timeline Mismatch,19-07-2024
OPP-P1-00136,L-P1-00567,20-08-2024,Smart Lighting,Northeast,K. Romano,Enterprise Business,19566,TRUE,FALSE,P1,Develop,Lost,Timeline Mismatch,22-08-2024
OPP-P1-00137,L-P1-00569,29-05-2024,Smart Lighting,Northeast,J. Sullivan,Multifamily Property,36720,FALSE,FALSE,P1,Propose,Lost,Pricing,08-06-2024
OPP-P1-00138,L-P1-00575,28-04-2024,Smart Lighting,Midwest,M. Okafor,Multifamily Property,29787,TRUE,FALSE,P1,Close,Lost,Budget Cut,09-05-2024
OPP-P1-00139,L-P1-00577,26-04-2024,Digital Signage,West,M. Okafor,Municipality,54896,TRUE,FALSE,P1,Qualify,Lost,Timeline Mismatch,27-04-2024
OPP-P1-00140,L-P1-00585,20-04-2024,Video Analytics,South,M. Okafor,Enterprise Business,39917,TRUE,FALSE,P1,Propose,Lost,Competitor Presence,02-06-2024
OPP-P1-00141,L-P1-00586,10-02-2024,Smart Mobility (EV/Parking),South,S. Patel,Mixed-Use Development,24818,FALSE,FALSE,P1,Qualify,Lost,Timeline Mismatch,11-02-2024
OPP-P1-00142,L-P1-00587,16-04-2024,Digital Signage,South,J. Sullivan,Multifamily Property,18026,FALSE,FALSE,P1,Qualify,Lost,Budget Cut,17-04-2024
OPP-P1-00143,L-P1-00588,06-09-2024,Digital Signage,South,R. Alvarez,Campus,12547,FALSE,FALSE,P1,Develop,Lost,Lost Contact,29-10-2024
OPP-P1-00144,L-P1-00590,09-10-2024,Digital Signage,Northeast,R. Alvarez,Municipality,45821,FALSE,FALSE,P1,Qualify,Lost,Timeline Mismatch,10-10-2024
OPP-P1-00145,L-P1-00592,27-01-2024,Digital Signage,Midwest,J. Sullivan,Multifamily Property,68626,TRUE,FALSE,P1,Close,Won,Won,11-02-2024
OPP-P1-00146,L-P1-00595,18-05-2024,Video Analytics,Midwest,K. Romano,Multifamily Property,35439,TRUE,FALSE,P1,Close,Won,Won,11-06-2024
OPP-P1-00147,L-P1-00598,21-09-2024,Smart Lighting,Midwest,T. Chen,Campus,26300,TRUE,FALSE,P1,Develop,Lost,Budget Cut,23-09-2024
OPP-P1-00148,L-P1-00600,28-12-2024,Smart Buildings,West,R. Alvarez,Mixed-Use Development,8304,TRUE,FALSE,P1,Propose,Lost,Pricing,07-02-2025
OPP-P1-00149,L-P1-00607,27-08-2024,Video Analytics,South,T. Chen,Campus,15009,FALSE,FALSE,P1,Propose,Lost,Budget Cut,22-09-2024
OPP-P1-00150,L-P1-00608,19-08-2024,Smart Mobility (EV/Parking),Midwest,R. Alvarez,Enterprise Business,13569,FALSE,FALSE,P1,Qualify,Lost,Budget Cut,20-08-2024
OPP-P1-00151,L-P1-00616,11-11-2024,Digital Signage,West,R. Alvarez,Campus,29360,FALSE,FALSE,P1,Develop,Lost,Timeline Mismatch,13-11-2024
OPP-P1-00152,L-P1-00620,31-05-2024,Smart Mobility (EV/Parking),South,M. Okafor,Municipality,38500,FALSE,FALSE,P1,Qualify,Lost,Timeline Mismatch,01-06-2024
OPP-P1-00153,L-P1-00622,24-05-2024,Smart Buildings,West,R. Alvarez,Multifamily Property,61704,FALSE,FALSE,P1,Qualify,Lost,Budget Cut,25-05-2024
OPP-P1-00154,L-P1-00625,14-08-2024,Smart Lighting,Midwest,T. Chen,Multifamily Property,20486,TRUE,FALSE,P1,Qualify,Lost,Lost Contact,15-08-2024
