opportunity_id,stage,entry_date,exit_date,days_in_stage,period
OPP-P1-00020,Propose,16-06-2024,21-07-2024,35,P1
OPP-P1-00021,Qualify,29-03-2024,30-03-2024,1,P1
OPP-P1-00021,Develop,30-03-2024,31-03-2024,1,P1
OPP-P1-00021,Propose,31-03-2024,16-04-2024,16,P1
OPP-P1-00021,Close,16-04-2024,17-04-2024,1,P1
OPP-P1-00022,Qualify,06-08-2024,07-08-2024,1,P1
OPP-P1-00022,Develop,07-08-2024,08-08-2024,1,P1
OPP-P1-00023,Qualify,05-11-2024,06-11-2024,1,P1
OPP-P1-00024,Qualify,09-07-2024,10-07-2024,1,P1
OPP-P1-00024,Develop,10-07-2024,11-07-2024,1,P1
OPP-P1-00024,Propose,11-07-2024,30-07-2024,19,P1
OPP-P1-00025,Qualify,24-12-2024,25-12-2024,1,P1
OPP-P1-00025,Develop,25-12-2024,26-12-2024,1,P1
OPP-P1-00025,Propose,26-12-2024,12-01-2025,17,P1
OPP-P1-00025,Close,12-01-2025,13-01-2025,1,P1
OPP-P1-00026,Qualify,10-06-2024,11-06-2024,1,P1
OPP-P1-00027,Qualify,02-01-2024,03-01-2024,1,P1
OPP-P1-00028,Qualify,23-05-2024,24-05-2024,1,P1
OPP-P1-00028,Develop,24-05-2024,25-05-2024,1,P1
OPP-P1-00029,Qualify,19-01-2024,12-03-2024,53,P1
OPP-P1-00029,Develop,12-03-2024,13-03-2024,1,P1
OPP-P1-00029,Propose,13-03-2024,28-03-2024,15,P1
OPP-P1-00029,Close,28-03-2024,29-03-2024,1,P1
OPP-P1-00030,Qualify,16-12-2024,17-12-2024,1,P1
OPP-P1-00030,Develop,17-12-2024,18-12-2024,1,P1
OPP-P1-00030,Propose,18-12-2024,12-01-2025,25,P1
OPP-P1-00031,Qualify,05-01-2024,06-01-2024,1,P1
OPP-P1-00031,Develop,06-01-2024,07-01-2024,1,P1
OPP-P1-00031,Propose,07-01-2024,03-02-2024,27,P1
OPP-P1-00032,Qualify,02-08-2024,03-08-2024,1,P1
OPP-P1-00032,Develop,03-08-2024,04-08-2024,1,P1
OPP-P1-00032,Propose,04-08-2024,14-08-2024,10,P1
OPP-P1-00033,Qualify,12-10-2024,13-10-2024,1,P1
OPP-P1-00033,Develop,13-10-2024,14-10-2024,1,P1
OPP-P1-00034,Qualify,10-05-2024,11-05-2024,1,P1
OPP-P1-00034,Develop,11-05-2024,12-05-2024,1,P1
OPP-P1-00034,Propose,12-05-2024,14-06-2024,33,P1
OPP-P1-00035,Qualify,22-04-2024,23-04-2024,1,P1
OPP-P1-00035,Develop,23-04-2024,24-04-2024,1,P1
OPP-P1-00035,Propose,24-04-2024,22-05-2024,28,P1
OPP-P1-00036,Qualify,13-11-2024,14-11-2024,1,P1
OPP-P1-00037,Qualify,08-02-2024,09-02-2024,1,P1
OPP-P1-00037,Develop,09-02-2024,10-02-2024,1,P1
OPP-P1-00037,Propose,10-02-2024,27-02-2024,17,P1
OPP-P1-00038,Qualify,17-04-2024,18-04-2024,1,P1
OPP-P1-00038,Develop,18-04-2024,19-04-2024,1,P1
OPP-P1-00039,Qualify,07-11-2024,08-11-2024,1,P1
OPP-P1-00039,Develop,08-11-2024,09-11-2024,1,P1
OPP-P1-00039,Propose,09-11-2024,17-12-2024,38,P1
OPP-P1-00040,Qualify,10-08-2024,11-08-2024,1,P1
OPP-P1-00041,Qualify,02-05-2024,03-05-2024,1,P1
OPP-P1-00041,Develop,03-05-2024,04-05-2024,1,P1
OPP-P1-00041,Propose,04-05-2024,31-05-2024,27,P1
OPP-P1-00042,Qualify,07-10-2024,08-10-2024,1,P1
OPP-P1-00042,Develop,08-10-2024,11-10-2024,3,P1
OPP-P1-00042,Propose,11-10-2024,16-10-2024,5,P1
OPP-P1-00042,Close,16-10-2024,17-10-2024,1,P1
OPP-P1-00043,Qualify,11-04-2024,12-04-2024,1,P1
OPP-P1-00043,Develop,12-04-2024,13-04-2024,1,P1
OPP-P1-00044,Qualify,03-10-2024,11-10-2024,8,P1
OPP-P1-00045,Qualify,28-08-2024,29-08-2024,1,P1
OPP-P1-00045,Develop,29-08-2024,30-08-2024,1,P1
OPP-P1-00045,Propose,30-08-2024,26-09-2024,27,P1
OPP-P1-00046,Qualify,09-01-2024,10-01-2024,1,P1
OPP-P1-00046,Develop,10-01-2024,11-01-2024,1,P1
OPP-P1-00047,Qualify,19-10-2024,20-10-2024,1,P1
OPP-P1-00048,Qualify,25-04-2024,26-04-2024,1,P1
OPP-P1-00049,Qualify,17-08-2024,18-08-2024,1,P1
OPP-P1-00049,Develop,18-08-2024,19-08-2024,1,P1
OPP-P1-00049,Propose,19-08-2024,28-08-2024,9,P1
OPP-P1-00050,Qualify,13-07-2024,14-07-2024,1,P1
OPP-P1-00051,Qualify,21-12-2024,22-12-2024,1,P1
OPP-P1-00051,Develop,22-12-2024,23-12-2024,1,P1
OPP-P1-00051,Propose,23-12-2024,19-01-2025,27,P1
OPP-P1-00052,Qualify,20-02-2024,21-02-2024,1,P1
OPP-P1-00053,Qualify,06-12-2024,07-12-2024,1,P1
OPP-P1-00053,Develop,07-12-2024,08-12-2024,1,P1
OPP-P1-00053,Propose,08-12-2024,17-12-2024,9,P1
OPP-P1-00053,Close,17-12-2024,18-12-2024,1,P1
OPP-P1-00054,Qualify,27-11-2024,28-11-2024,1,P1
OPP-P1-00055,Qualify,11-02-2024,12-02-2024,1,P1
OPP-P1-00056,Qualify,02-08-2024,03-08-2024,1,P1
OPP-P1-00056,Develop,03-08-2024,04-08-2024,1,P1
OPP-P1-00056,Propose,04-08-2024,21-08-2024,17,P1
OPP-P1-00056,Close,21-08-2024,22-08-2024,1,P1
OPP-P1-00057,Qualify,30-10-2024,31-10-2024,1,P1
OPP-P1-00058,Qualify,17-03-2024,18-03-2024,1,P1
OPP-P1-00058,Develop,18-03-2024,19-03-2024,1,P1
OPP-P1-00058,Propose,19-03-2024,05-04-2024,17,P1
OPP-P1-00059,Qualify,18-08-2024,19-08-2024,1,P1
OPP-P1-00059,Develop,19-08-2024,20-08-2024,1,P1
OPP-P1-00059,Propose,20-08-2024,13-09-2024,24,P1
OPP-P1-00060,Qualify,23-04-2024,24-04-2024,1,P1
OPP-P1-00060,Develop,24-04-2024,25-04-2024,1,P1
OPP-P1-00061,Qualify,05-06-2024,23-06-2026,748,P1
OPP-P1-00062,Qualify,28-01-2024,29-01-2024,1,P1
OPP-P1-00062,Develop,29-01-2024,30-01-2024,1,P1
OPP-P1-00062,Propose,30-01-2024,09-03-2024,39,P1
OPP-P1-00063,Qualify,04-03-2024,05-03-2024,1,P1
OPP-P1-00063,Develop,05-03-2024,06-03-2024,1,P1
OPP-P1-00064,Qualify,23-04-2024,24-04-2024,1,P1
OPP-P1-00064,Develop,24-04-2024,25-04-2024,1,P1
OPP-P1-00064,Propose,25-04-2024,26-05-2024,31,P1
OPP-P1-00065,Qualify,12-09-2024,13-09-2024,1,P1
OPP-P1-00065,Develop,13-09-2024,14-09-2024,1,P1
OPP-P1-00066,Qualify,31-10-2024,01-11-2024,1,P1
OPP-P1-00066,Develop,01-11-2024,02-11-2024,1,P1
OPP-P1-00066,Propose,02-11-2024,25-11-2024,23,P1
OPP-P1-00067,Qualify,26-12-2024,27-12-2024,1,P1
OPP-P1-00067,Develop,27-12-2024,28-12-2024,1,P1
OPP-P1-00067,Propose,28-12-2024,29-01-2025,32,P1
OPP-P1-00068,Qualify,02-04-2024,29-05-2024,57,P1
OPP-P1-00068,Develop,29-05-2024,30-05-2024,1,P1
OPP-P1-00068,Propose,30-05-2024,17-06-2024,18,P1
OPP-P1-00069,Qualify,01-04-2024,02-04-2024,1,P1
OPP-P1-00069,Develop,02-04-2024,03-04-2024,1,P1
OPP-P1-00070,Qualify,02-04-2024,03-04-2024,1,P1
OPP-P1-00070,Develop,03-04-2024,04-04-2024,1,P1
OPP-P1-00070,Propose,04-04-2024,09-05-2024,35,P1
OPP-P1-00071,Qualify,14-12-2024,15-12-2024,1,P1
OPP-P1-00071,Develop,15-12-2024,16-12-2024,1,P1
OPP-P1-00071,Propose,16-12-2024,01-01-2025,16,P1
OPP-P1-00072,Qualify,12-12-2024,13-12-2024,1,P1
OPP-P1-00072,Develop,13-12-2024,14-12-2024,1,P1
OPP-P1-00073,Qualify,02-05-2024,03-05-2024,1,P1
OPP-P1-00073,Develop,03-05-2024,04-05-2024,1,P1
OPP-P1-00074,Qualify,22-04-2024,23-04-2024,1,P1
OPP-P1-00074,Develop,23-04-2024,24-04-2024,1,P1
OPP-P1-00074,Propose,24-04-2024,29-05-2024,35,P1
OPP-P1-00075,Qualify,31-08-2024,01-09-2024,1,P1
OPP-P1-00075,Develop,01-09-2024,02-09-2024,1,P1
OPP-P1-00076,Qualify,22-05-2024,23-05-2024,1,P1
OPP-P1-00076,Develop,23-05-2024,24-05-2024,1,P1
OPP-P1-00077,Qualify,14-12-2024,15-12-2024,1,P1
OPP-P1-00078,Qualify,15-04-2024,16-04-2024,1,P1
OPP-P1-00079,Qualify,14-07-2024,15-07-2024,1,P1
OPP-P1-00080,Qualify,16-08-2024,17-08-2024,1,P1
OPP-P1-00080,Develop,17-08-2024,18-08-2024,1,P1
OPP-P1-00080,Propose,18-08-2024,31-08-2024,13,P1
OPP-P1-00080,Close,31-08-2024,01-09-2024,1,P1
OPP-P1-00081,Qualify,30-10-2024,31-10-2024,1,P1
OPP-P1-00082,Qualify,27-06-2024,28-06-2024,1,P1
OPP-P1-00083,Qualify,10-12-2024,11-12-2024,1,P1
OPP-P1-00083,Develop,11-12-2024,12-12-2024,1,P1
OPP-P1-00083,Propose,12-12-2024,23-12-2024,11,P1
OPP-P1-00084,Qualify,09-04-2024,10-04-2024,1,P1
OPP-P1-00084,Develop,10-04-2024,11-04-2024,1,P1
OPP-P1-00084,Propose,11-04-2024,23-04-2024,12,P1
OPP-P1-00085,Qualify,13-09-2024,14-09-2024,1,P1
OPP-P1-00085,Develop,14-09-2024,15-09-2024,1,P1
OPP-P1-00086,Qualify,10-06-2024,11-06-2024,1,P1
OPP-P1-00086,Develop,11-06-2024,12-06-2024,1,P1
OPP-P1-00086,Propose,12-06-2024,29-07-2024,47,P1
OPP-P1-00087,Qualify,28-04-2024,29-04-2024,1,P1
OPP-P1-00087,Develop,29-04-2024,30-04-2024,1,P1
OPP-P1-00087,Propose,30-04-2024,04-06-2024,35,P1
OPP-P1-00088,Qualify,03-12-2024,04-12-2024,1,P1
OPP-P1-00088,Develop,04-12-2024,05-12-2024,1,P1
OPP-P1-00089,Qualify,26-01-2024,27-01-2024,1,P1
OPP-P1-00089,Develop,27-01-2024,28-01-2024,1,P1
OPP-P1-00089,Propose,28-01-2024,19-03-2024,51,P1
OPP-P1-00090,Qualify,09-01-2024,14-02-2024,36,P1
OPP-P1-00091,Qualify,16-12-2024,17-12-2024,1,P1
OPP-P1-00091,Develop,17-12-2024,18-12-2024,1,P1
OPP-P1-00091,Propose,18-12-2024,30-01-2025,43,P1
OPP-P1-00092,Qualify,02-12-2024,03-12-2024,1,P1
OPP-P1-00092,Develop,03-12-2024,04-12-2024,1,P1
OPP-P1-00093,Qualify,06-09-2024,07-09-2024,1,P1
OPP-P1-00094,Qualify,16-10-2024,17-10-2024,1,P1
OPP-P1-00094,Develop,17-10-2024,18-10-2024,1,P1
OPP-P1-00094,Propose,18-10-2024,13-11-2024,26,P1
OPP-P1-00095,Qualify,01-02-2024,02-02-2024,1,P1
OPP-P1-00095,Develop,02-02-2024,03-02-2024,1,P1
OPP-P1-00095,Propose,03-02-2024,12-02-2024,9,P1
OPP-P1-00095,Close,12-02-2024,13-02-2024,1,P1
OPP-P1-00096,Qualify,07-10-2024,08-10-2024,1,P1
OPP-P1-00097,Qualify,09-10-2024,10-10-2024,1,P1
OPP-P1-00097,Develop,10-10-2024,11-10-2024,1,P1
OPP-P1-00097,Propose,11-10-2024,19-10-2024,8,P1
OPP-P1-00097,Close,19-10-2024,22-10-2024,3,P1
OPP-P1-00098,Qualify,04-05-2024,05-05-2024,1,P1
OPP-P1-00099,Qualify,26-04-2024,27-04-2024,1,P1
OPP-P1-00099,Develop,27-04-2024,28-04-2024,1,P1
OPP-P1-00099,Propose,28-04-2024,07-07-2024,70,P1
OPP-P1-00100,Qualify,17-04-2024,18-04-2024,1,P1
OPP-P1-00100,Develop,18-04-2024,19-04-2024,1,P1
OPP-P1-00100,Propose,19-04-2024,25-05-2024,36,P1
OPP-P1-00101,Qualify,22-04-2024,23-04-2024,1,P1
OPP-P1-00101,Develop,23-04-2024,24-04-2024,1,P1
OPP-P1-00101,Propose,24-04-2024,12-05-2024,18,P1
OPP-P1-00101,Close,12-05-2024,13-05-2024,1,P1
OPP-P1-00102,Qualify,18-02-2024,19-02-2024,1,P1
OPP-P1-00102,Develop,19-02-2024,20-02-2024,1,P1
OPP-P1-00102,Propose,20-02-2024,07-04-2024,47,P1
OPP-P1-00103,Qualify,15-01-2024,16-01-2024,1,P1
OPP-P1-00103,Develop,16-01-2024,17-01-2024,1,P1
OPP-P1-00103,Propose,17-01-2024,27-01-2024,10,P1
OPP-P1-00103,Close,27-01-2024,28-01-2024,1,P1
OPP-P1-00104,Qualify,13-06-2024,14-06-2024,1,P1
OPP-P1-00104,Develop,14-06-2024,15-06-2024,1,P1
OPP-P1-00104,Propose,15-06-2024,02-07-2024,17,P1
OPP-P1-00105,Qualify,27-08-2024,28-08-2024,1,P1
OPP-P1-00106,Qualify,21-03-2024,22-03-2024,1,P1
OPP-P1-00107,Qualify,21-10-2024,22-10-2024,1,P1
OPP-P1-00107,Develop,22-10-2024,23-10-2024,1,P1
OPP-P1-00107,Propose,23-10-2024,29-11-2024,37,P1
OPP-P1-00108,Qualify,01-07-2024,02-07-2024,1,P1
OPP-P1-00108,Develop,02-07-2024,03-07-2024,1,P1
OPP-P1-00109,Qualify,04-01-2024,05-01-2024,1,P1
OPP-P1-00110,Qualify,29-10-2024,30-10-2024,1,P1
OPP-P1-00111,Qualify,23-12-2024,24-12-2024,1,P1
OPP-P1-00111,Develop,24-12-2024,25-12-2024,1,P1
OPP-P1-00111,Propose,25-12-2024,06-02-2025,43,P1
OPP-P1-00112,Qualify,23-07-2024,24-07-2024,1,P1
OPP-P1-00112,Develop,24-07-2024,25-07-2024,1,P1
OPP-P1-00112,Propose,25-07-2024,19-09-2024,56,P1
OPP-P1-00113,Qualify,10-06-2024,11-06-2024,1,P1
OPP-P1-00113,Develop,11-06-2024,12-06-2024,1,P1
OPP-P1-00113,Propose,12-06-2024,19-07-2024,37,P1
OPP-P1-00114,Qualify,10-03-2024,11-03-2024,1,P1
OPP-P1-00114,Develop,11-03-2024,12-03-2024,1,P1
OPP-P1-00114,Propose,12-03-2024,18-04-2024,37,P1
OPP-P1-00115,Qualify,20-10-2024,21-10-2024,1,P1
OPP-P1-00116,Qualify,15-03-2024,16-03-2024,1,P1
OPP-P1-00117,Qualify,30-03-2024,31-03-2024,1,P1
OPP-P1-00117,Develop,31-03-2024,01-04-2024,1,P1
OPP-P1-00117,Propose,01-04-2024,11-04-2024,10,P1
OPP-P1-00118,Qualify,26-04-2024,27-04-2024,1,P1
OPP-P1-00118,Develop,27-04-2024,28-04-2024,1,P1
OPP-P1-00118,Propose,28-04-2024,13-05-2024,15,P1
OPP-P1-00119,Qualify,01-03-2024,02-03-2024,1,P1
OPP-P1-00119,Develop,02-03-2024,03-03-2024,1,P1
OPP-P1-00119,Propose,03-03-2024,15-04-2024,43,P1
OPP-P1-00120,Qualify,28-08-2024,29-08-2024,1,P1
OPP-P1-00120,Develop,29-08-2024,30-08-2024,1,P1
OPP-P1-00121,Qualify,15-08-2024,16-08-2024,1,P1
OPP-P1-00121,Develop,16-08-2024,17-08-2024,1,P1
OPP-P1-00121,Propose,17-08-2024,15-09-2024,29,P1
OPP-P1-00122,Qualify,18-01-2024,19-01-2024,1,P1
OPP-P1-00122,Develop,19-01-2024,20-01-2024,1,P1
OPP-P1-00123,Qualify,14-04-2024,15-04-2024,1,P1
OPP-P1-00123,Develop,15-04-2024,16-04-2024,1,P1
OPP-P1-00123,Propose,16-04-2024,10-05-2024,24,P1
OPP-P1-00124,Qualify,29-07-2024,30-07-2024,1,P1
OPP-P1-00124,Develop,30-07-2024,31-07-2024,1,P1
OPP-P1-00124,Propose,31-07-2024,13-08-2024,13,P1
OPP-P1-00124,Close,13-08-2024,14-08-2024,1,P1
OPP-P1-00125,Qualify,23-06-2024,24-06-2024,1,P1
OPP-P1-00125,Develop,24-06-2024,25-06-2024,1,P1
OPP-P1-00125,Propose,25-06-2024,18-07-2024,23,P1
OPP-P1-00126,Qualify,12-12-2024,13-12-2024,1,P1
OPP-P1-00127,Qualify,09-09-2024,10-09-2024,1,P1
OPP-P1-00127,Develop,10-09-2024,11-09-2024,1,P1
OPP-P1-00128,Qualify,10-04-2024,11-04-2024,1,P1
OPP-P1-00129,Qualify,09-04-2024,10-04-2024,1,P1
OPP-P1-00130,Qualify,09-06-2024,10-06-2024,1,P1
OPP-P1-00130,Develop,10-06-2024,11-06-2024,1,P1
OPP-P1-00131,Qualify,11-06-2024,12-06-2024,1,P1
OPP-P1-00131,Develop,12-06-2024,13-06-2024,1,P1
OPP-P1-00131,Propose,13-06-2024,05-07-2024,22,P1
OPP-P1-00132,Qualify,24-10-2024,25-10-2024,1,P1
OPP-P1-00133,Qualify,24-07-2024,25-07-2024,1,P1
OPP-P1-00133,Develop,25-07-2024,26-07-2024,1,P1
OPP-P1-00134,Qualify,06-01-2024,07-01-2024,1,P1
OPP-P1-00135,Qualify,18-07-2024,19-07-2024,1,P1
OPP-P1-00136,Qualify,20-08-2024,21-08-2024,1,P1
OPP-P1-00136,Develop,21-08-2024,22-08-2024,1,P1
OPP-P1-00137,Qualify,29-05-2024,30-05-2024,1,P1
OPP-P1-00137,Develop,30-05-2024,31-05-2024,1,P1
OPP-P1-00137,Propose,31-05-2024,08-06-2024,8,P1
OPP-P1-00138,Qualify,28-04-2024,29-04-2024,1,P1
OPP-P1-00138,Develop,29-04-2024,30-04-2024,1,P1
OPP-P1-00138,Propose,30-04-2024,08-05-2024,8,P1
OPP-P1-00138,Close,08-05-2024,09-05-2024,1,P1
OPP-P1-00139,Qualify,26-04-2024,27-04-2024,1,P1
OPP-P1-00140,Qualify,20-04-2024,21-04-2024,1,P1
OPP-P1-00140,Develop,21-04-2024,22-04-2024,1,P1
OPP-P1-00140,Propose,22-04-2024,02-06-2024,41,P1
OPP-P1-00141,Qualify,10-02-2024,11-02-2024,1,P1
OPP-P1-00142,Qualify,16-04-2024,17-04-2024,1,P1
OPP-P1-00143,Qualify,06-09-2024,28-10-2024,52,P1
OPP-P1-00143,Develop,28-10-2024,29-10-2024,1,P1
OPP-P1-00144,Qualify,09-10-2024,10-10-2024,1,P1
OPP-P1-00145,Qualify,27-01-2024,28-01-2024,1,P1
OPP-P1-00145,Develop,28-01-2024,29-01-2024,1,P1
OPP-P1-00145,Propose,29-01-2024,10-02-2024,12,P1
OPP-P1-00145,Close,10-02-2024,11-02-2024,1,P1
OPP-P1-00146,Qualify,18-05-2024,19-05-2024,1,P1
OPP-P1-00146,Develop,19-05-2024,20-05-2024,1,P1
OPP-P1-00146,Propose,20-05-2024,10-06-2024,21,P1
OPP-P1-00146,Close,10-06-2024,11-06-2024,1,P1
OPP-P1-00147,Qualify,21-09-2024,22-09-2024,1,P1
OPP-P1-00147,Develop,22-09-2024,23-09-2024,1,P1
OPP-P1-00148,Qualify,28-12-2024,29-12-2024,1,P1
OPP-P1-00148,Develop,29-12-2024,30-12-2024,1,P1
OPP-P1-00148,Propose,30-12-2024,07-02-2025,39,P1
OPP-P1-00149,Qualify,27-08-2024,28-08-2024,1,P1
OPP-P1-00149,Develop,28-08-2024,29-08-2024,1,P1
OPP-P1-00149,Propose,29-08-2024,22-09-2024,24,P1
OPP-P1-00150,Qualify,19-08-2024,20-08-2024,1,P1
OPP-P1-00151,Qualify,11-11-2024,12-11-2024,1,P1
OPP-P1-00151,Develop,12-11-2024,13-11-2024,1,P1
OPP-P1-00152,Qualify,31-05-2024,01-06-2024,1,P1
OPP-P1-00153,Qualify,24-05-2024,25-05-2024,1,P1
OPP-P1-00154,Qualify,14-08-2024,15-08-2024,1,P1
OPP-P1-00155,Qualify,14-02-2024,15-02-2024,1,P1
OPP-P1-00155,Develop,15-02-2024,16-02-2024,1,P1
OPP-P1-00155,Propose,16-02-2024,03-03-2024,16,P1
OPP-P1-00156,Qualify,16-06-2024,17-06-2024,1,P1
OPP-P1-00157,Qualify,22-04-2024,23-04-2024,1,P1
OPP-P1-00157,Develop,23-04-2024,24-04-2024,1,P1
OPP-P1-00157,Propose,24-04-2024,13-05-2024,19,P1
OPP-P1-00158,Qualify,07-05-2024,08-05-2024,1,P1
OPP-P1-00158,Develop,08-05-2024,09-05-2024,1,P1
OPP-P1-00158,Propose,09-05-2024,25-05-2024,16,P1
OPP-P1-00159,Qualify,12-01-2024,13-01-2024,1,P1
OPP-P1-00159,Develop,13-01-2024,14-01-2024,1,P1
OPP-P1-00159,Propose,14-01-2024,18-01-2024,4,P1
OPP-P1-00159,Close,18-01-2024,19-01-2024,1,P1
OPP-P1-00160,Qualify,13-08-2024,14-08-2024,1,P1
OPP-P1-00161,Qualify,09-04-2024,10-04-2024,1,P1
OPP-P1-00161,Develop,10-04-2024,11-04-2024,1,P1
OPP-P1-00162,Qualify,18-12-2024,19-12-2024,1,P1
OPP-P1-00163,Qualify,23-09-2024,24-09-2024,1,P1
OPP-P1-00164,Qualify,06-07-2024,07-07-2024,1,P1
OPP-P1-00164,Develop,07-07-2024,08-07-2024,1,P1
OPP-P1-00164,Propose,08-07-2024,18-08-2024,41,P1
OPP-P1-00165,Qualify,01-03-2024,02-03-2024,1,P1
OPP-P1-00166,Qualify,13-06-2024,14-06-2024,1,P1
OPP-P1-00166,Develop,14-06-2024,15-06-2024,1,P1
OPP-P1-00167,Qualify,05-08-2024,28-09-2024,54,P1
OPP-P1-00167,Develop,28-09-2024,29-09-2024,1,P1
OPP-P1-00167,Propose,29-09-2024,08-10-2024,9,P1
OPP-P1-00168,Qualify,02-02-2024,03-02-2024,1,P1
OPP-P1-00168,Develop,03-02-2024,04-02-2024,1,P1
OPP-P1-00168,Propose,04-02-2024,17-03-2024,42,P1
OPP-P1-00169,Qualify,02-05-2024,03-05-2024,1,P1
OPP-P1-00170,Qualify,12-12-2024,13-12-2024,1,P1
OPP-P1-00170,Develop,13-12-2024,14-12-2024,1,P1
OPP-P1-00171,Qualify,25-11-2024,26-11-2024,1,P1
OPP-P1-00172,Qualify,07-09-2024,08-09-2024,1,P1
OPP-P1-00172,Develop,08-09-2024,09-09-2024,1,P1
OPP-P1-00172,Propose,09-09-2024,24-10-2024,45,P1
OPP-P1-00173,Qualify,10-03-2024,11-03-2024,1,P1
OPP-P1-00173,Develop,11-03-2024,12-03-2024,1,P1
OPP-P1-00173,Propose,12-03-2024,01-04-2024,20,P1
OPP-P1-00174,Qualify,10-06-2024,11-06-2024,1,P1
OPP-P1-00174,Develop,11-06-2024,12-06-2024,1,P1
OPP-P1-00174,Propose,12-06-2024,15-07-2024,33,P1
OPP-P1-00175,Qualify,03-07-2024,04-07-2024,1,P1
OPP-P1-00175,Develop,04-07-2024,05-07-2024,1,P1
OPP-P1-00175,Propose,05-07-2024,06-08-2024,32,P1
OPP-P1-00176,Qualify,19-12-2024,20-12-2024,1,P1
OPP-P1-00176,Develop,20-12-2024,21-12-2024,1,P1
OPP-P1-00177,Qualify,25-05-2024,26-05-2024,1,P1
OPP-P1-00177,Develop,26-05-2024,27-05-2024,1,P1
OPP-P1-00178,Qualify,02-05-2024,03-05-2024,1,P1
OPP-P1-00179,Qualify,19-09-2024,20-09-2024,1,P1
OPP-P1-00179,Develop,20-09-2024,21-09-2024,1,P1
OPP-P1-00179,Propose,21-09-2024,24-10-2024,33,P1
OPP-P1-00180,Qualify,30-07-2024,31-07-2024,1,P1
OPP-P1-00180,Develop,31-07-2024,01-08-2024,1,P1
OPP-P1-00180,Propose,01-08-2024,21-08-2024,20,P1
OPP-P1-00181,Qualify,19-05-2024,20-05-2024,1,P1
OPP-P1-00181,Develop,20-05-2024,21-05-2024,1,P1
OPP-P1-00181,Propose,21-05-2024,09-06-2024,19,P1
OPP-P1-00182,Qualify,19-09-2024,20-09-2024,1,P1
OPP-P1-00183,Qualify,30-08-2024,31-08-2024,1,P1
OPP-P1-00183,Develop,31-08-2024,01-09-2024,1,P1
OPP-P1-00184,Qualify,13-08-2024,21-04-2025,251,P1
OPP-P1-00184,Develop,21-04-2025,22-04-2025,1,P1
OPP-P1-00184,Propose,22-04-2025,14-05-2025,22,P1
