lead_id,created_date,lead_source,product_line,region,nam_owner,client_type,deal_value_usd,period,lead_status,disqualified_reason
L-P1-00133,06-10-2024,Existing Client Upsell,Smart Mobility (EV/Parking),Northeast,D. Singh,Enterprise Business,26543,P1,Qualified,
L-P1-00134,05-07-2024 00:00,Outbound SDR,Video Analytics,West,S. Patel,Enterprise Business,42260,P1,Disqualified,Duplicate
L-P1-00135,09-04-2024,Trade Show,Smart Buildings,Midwest,L. Fitzgerald,Municipality,51589,P1,Qualified,
L-P1-00136,01-10-2024,Existing Client Upsell,Video Analytics,South,K. Romano,Municipality,39586,P1,Qualified,
L-P1-00137,26-08-2024,Cold Outreach,Digital Signage,Northeast,J. Sullivan,Mixed-Use Development,12647,P1,Qualified,
L-P1-00138,14-09-2024 00:00,EXISTING CLIENT UPSELL,Smart Buildings,SOUTH,T. Chen,Municipality,15449,P1,Open,
L-P1-00139,22-01-2024,Trade Show,Smart Buildings,West,T. Chen,Multifamily Property,24093,P1,Open,
L-P1-00140,01-08-2024,Inbound Web Form,Smart Lighting,West,S. Patel,Campus,28147,P1,Qualified,
L-P1-00141,28-01-2024 00:00,Trade Show,Smart Lighting,Northeast,S. Patel,Municipality,17763,P1,Disqualified,Wrong fit
L-P1-00142,03-09-2024 00:00,Outbound SDR,Smart Lighting,West,T. Chen,Campus,44427,P1,Disqualified,Wrong fit
L-P1-00143,31-12-2024,Existing Client Upsell,Smart Mobility (EV/Parking),South,M. Okafor,Campus,17971,P1,Disqualified,Wrong fit
L-P1-00144,19-03-2024 00:00,Partner Referral,Smart Lighting,South,T. Chen,Mixed-Use Development,17984,P1,Open,
L-P1-00145,12-09-2024,Partner Referral,Digital Signage,Midwest,J. Sullivan,Municipality,15074,P1,Disqualified,No budget
L-P1-00146,02-Jan-24,Partner Referral,Digital Signage,,M. Okafor,Enterprise Business,30047,P1,Open,
L-P1-00147,09-04-2024 00:00,Inbound Web Form,Smart Mobility (EV/Parking),Midwest,R. Alvarez,Municipality,14839,P1,Disqualified,Wrong fit
L-P1-00148,02-12-2024 00:00,Inbound Web Form,Smart Lighting,Northeast,L. Fitzgerald,Mixed-Use Development,38289,P1,Open,
L-P1-00149,17-Oct-24,Inbound Web Form,Smart Mobility (EV/Parking),West,R. Alvarez,Enterprise Business,29436,P1,Qualified,
L-P1-00150,02-03-2024,Outbound SDR,Smart Lighting,Midwest,S. Patel,Municipality,37460,P1,Open,
L-P1-00151,04/23/2024,Outbound SDR,Video Analytics,South,M. Okafor,Campus,24190,P1,Qualified,
L-P1-00152,31-05-2024,Outbound SDR,Smart Buildings,West,L. Fitzgerald,Municipality,20596,P1,Disqualified,No budget
L-P1-00153,12-07-2024 00:00,Partner Referral,Digital Signage,South,S. Patel,Municipality,16017,P1,Open,
L-P1-00154,14-Aug-24,Inbound Web Form,Smart Mobility (EV/Parking),West,R. Alvarez,Multifamily Property,34503,P1,Qualified,
L-P1-00155,07-12-2024,Existing Client Upsell,Digital Signage,Northeast,K. Romano,Enterprise Business,52805,P1,Qualified,
L-P1-00156,01-09-2024,Partner Referral,Smart Lighting,West,D. Singh,Enterprise Business,73090,P1,Open,
L-P1-00157,05-03-2024,Existing Client Upsell,Video Analytics,Midwest,D. Singh,Campus,26885,P1,Disqualified,Duplicate
L-P1-00158,25-06-2024,Inbound Web Form,Smart Lighting,Northeast,K. Romano,Mixed-Use Development,11936,P1,Open,
L-P1-00159,01/30/2024,Inbound Web Form,Smart Buildings,Midwest,J. Sullivan,Multifamily Property,13752,P1,Open,
L-P1-00160,12-05-2024,Outbound SDR,Smart Mobility (EV/Parking),Northeast,R. Alvarez,Municipality,43765,P1,Disqualified,Wrong fit
L-P1-00161,19-Dec-24,OUTBOUND SDR,Smart Buildings,SOUTH,D. Singh,Municipality,30606,P1,Qualified,
L-P1-00162,17-Feb-24,COLD OUTREACH,Smart Lighting,WEST,L. Fitzgerald,Multifamily Property,13581,P1,Qualified,
L-P1-00163,04-03-2024,Inbound Web Form,Digital Signage,West,T. Chen,Multifamily Property,42325,P1,Open,
L-P1-00164,15-09-2024 00:00,Outbound SDR,Smart Buildings,South,D. Singh,Municipality,118438,P1,Disqualified,Duplicate
L-P1-00165,12-04-2024,Partner Referral,Digital Signage,West,,Municipality,9729,P1,Qualified,
L-P1-00166,21-10-2024,Trade Show,Smart Buildings,Northeast,M. Okafor,Enterprise Business,35794,P1,Open,
L-P1-00167,08/20/2024,Existing Client Upsell,Smart Mobility (EV/Parking),West,L. Fitzgerald,Campus,23523,P1,Open,
L-P1-00168,19-May-24,Inbound Web Form,Smart Buildings,South,J. Sullivan,Campus,21534,P1,Disqualified,No budget
L-P1-00169,01-03-2024 00:00,Trade Show,Video Analytics,West,J. Sullivan,Multifamily Property,14670,P1,Open,
L-P1-00170,25-Nov-24,Cold Outreach,Video Analytics,South,J. Sullivan,Municipality,8000,P1,Qualified,
L-P1-00171,08-02-2024 00:00,TRADE SHOW,Smart Mobility (EV/Parking),NORTHEAST,K. Romano,Enterprise Business,9420,P1,Qualified,
L-P1-00172,27-05-2024 00:00,Inbound Web Form,Smart Mobility (EV/Parking),South,K. Romano,Municipality,24563,P1,Open,
L-P1-00173,11-11-2024,INBOUND WEB FORM,Video Analytics,MIDWEST,J. Sullivan,Multifamily Property,11249,P1,Disqualified,No response
L-P1-00174,07/30/2024,Outbound SDR,Smart Mobility (EV/Parking),West,M. Okafor,Campus,11001,P1,Qualified,
L-P1-00175,10/17/2024,Inbound Web Form,Smart Lighting,South,R. Alvarez,Enterprise Business,134500,P1,Disqualified,Duplicate
L-P1-00176,11/29/2024,OUTBOUND SDR,Video Analytics,WEST,S. Patel,Mixed-Use Development,13255,P1,Disqualified,No budget
L-P1-00177,26-Oct-24,Partner Referral,Smart Mobility (EV/Parking),West,D. Singh,Municipality,94787,P1,Disqualified,Wrong fit
L-P1-00178,29-12-2024 00:00,Cold Outreach,Smart Buildings,Northeast,S. Patel,Multifamily Property,13265,P1,Open,
L-P1-00179,31-10-2024 00:00,Partner Referral,Smart Buildings,South,S. Patel,Multifamily Property,16242,P1,Open,
L-P1-00180,25-06-2024 00:00,Cold Outreach,Smart Lighting,Northeast,K. Romano,Mixed-Use Development,26538,P1,Open,
L-P1-00181,11-10-2024,Partner Referral,Video Analytics,Northeast,R. Alvarez,Enterprise Business,57911,P1,Disqualified,Duplicate
L-P1-00182,24-Jul-24,Outbound SDR,Video Analytics,Northeast,T. Chen,Multifamily Property,39745,P1,Disqualified,No response
L-P1-00183,25-03-2024,Trade Show,Smart Mobility (EV/Parking),South,M. Okafor,Campus,23759,P1,Open,
L-P1-00184,14-05-2024 00:00,INBOUND WEB FORM,Smart Mobility (EV/Parking),MIDWEST,S. Patel,Enterprise Business,41544,P1,Open,
L-P1-00185,27-Oct-24,Outbound SDR,Smart Mobility (EV/Parking),West,S. Patel,Campus,83671,P1,Qualified,
L-P1-00186,26-Aug-24,Partner Referral,Smart Lighting,Northeast,M. Okafor,Campus,31860,P1,Open,
L-P1-00187,14-03-2024 00:00,Outbound SDR,Smart Buildings,,J. Sullivan,Enterprise Business,36781,P1,Qualified,
L-P1-00188,18-03-2024,Trade Show,Smart Mobility (EV/Parking),South,J. Sullivan,Multifamily Property,9408,P1,Disqualified,Duplicate
L-P1-00189,16-May-24,Existing Client Upsell,Smart Lighting,South,S. Patel,Mixed-Use Development,15733,P1,Open,
L-P1-00190,14-05-2024,Partner Referral,Smart Buildings,South,S. Patel,Mixed-Use Development,38693,P1,Disqualified,No response
L-P1-00191,16-08-2024,Outbound SDR,Digital Signage,West,J. Sullivan,Enterprise Business,82984,P1,Qualified,
L-P1-00192,27-09-2024,Trade Show,Smart Lighting,Northeast,M. Okafor,Enterprise Business,8091,P1,Open,
L-P1-00193,04/27/2024,Outbound SDR,Video Analytics,South,M. Okafor,Campus,31599,P1,Open,
L-P1-00194,03-02-2024,Outbound SDR,Digital Signage,Northeast,K. Romano,Enterprise Business,40935,P1,Open,
L-P1-00195,20-11-2024,Existing Client Upsell,Digital Signage,,K. Romano,Municipality,55822,P1,Open,
L-P1-00196,10-07-2024 00:00,Partner Referral,Smart Mobility (EV/Parking),Midwest,S. Patel,Municipality,10239,P1,Open,
L-P1-00197,01/28/2024,Trade Show,Video Analytics,Northeast,L. Fitzgerald,Municipality,14267,P1,Disqualified,No budget
L-P1-00198,10/24/2024,Outbound SDR,Smart Buildings,West,L. Fitzgerald,Campus,37846,P1,Disqualified,Wrong fit
L-P1-00199,08-08-2024,Partner Referral,Smart Lighting,Midwest,R. Alvarez,Mixed-Use Development,12165,P1,Open,
L-P1-00200,16-09-2024,Partner Referral,Video Analytics,Midwest,M. Okafor,Enterprise Business,25871,P1,Disqualified,Wrong fit
L-P1-00201,22-Apr-24,Partner Referral,Smart Lighting,Northeast,,Enterprise Business,25819,P1,Qualified,
L-P1-00202,20-12-2024,Existing Client Upsell,Digital Signage,Northeast,S. Patel,Enterprise Business,36436,P1,Open,
L-P1-00203,20-02-2024 00:00,Existing Client Upsell,Smart Buildings,,,Mixed-Use Development,20789,P1,Open,
L-P1-00204,05-Feb-24,Existing Client Upsell,Video Analytics,South,M. Okafor,Multifamily Property,38972,P1,Open,
L-P1-00205,09-04-2024,Outbound SDR,Smart Buildings,Midwest,L. Fitzgerald,Campus,28392,P1,Disqualified,No response
L-P1-00206,17-Nov-24,INBOUND WEB FORM,Smart Lighting,WEST,S. Patel,Multifamily Property,52179,P1,Open,
L-P1-00207,06-04-2024,Outbound SDR,Smart Buildings,South,K. Romano,Multifamily Property,27366,P1,Qualified,
L-P1-00208,22-Mar-24,Outbound SDR,Smart Mobility (EV/Parking),South,S. Patel,Mixed-Use Development,16178,P1,Disqualified,No response
L-P1-00209,18-Sep-24,Existing Client Upsell,Smart Buildings,South,D. Singh,Mixed-Use Development,33523,P1,Open,
L-P1-00210,02-05-2024,Inbound Web Form,Video Analytics,West,K. Romano,Mixed-Use Development,29332,P1,Disqualified,Duplicate
L-P1-00211,06-03-2024,Trade Show,Smart Buildings,West,J. Sullivan,Mixed-Use Development,24461,P1,Disqualified,Duplicate
L-P1-00212,11-06-2024,Outbound SDR,Smart Buildings,West,D. Singh,Multifamily Property,73404,P1,Open,
L-P1-00213,01-01-2024,Outbound SDR,Smart Lighting,Northeast,K. Romano,Enterprise Business,27224,P1,Open,
L-P1-00214,25-Jan-24,Inbound Web Form,Digital Signage,Northeast,L. Fitzgerald,Campus,20938,P1,Disqualified,No budget
L-P1-00215,20-Sep-24,Inbound Web Form,Smart Buildings,Midwest,J. Sullivan,Municipality,15836,P1,Open,
L-P1-00216,18-09-2024,Existing Client Upsell,Video Analytics,West,L. Fitzgerald,Campus,8000,P1,Disqualified,No response
L-P1-00217,27-01-2024 00:00,Partner Referral,Digital Signage,Midwest,D. Singh,Mixed-Use Development,21647,P1,Qualified,
L-P1-00218,07-Jul-24,Inbound Web Form,Digital Signage,West,S. Patel,Mixed-Use Development,23220,P1,Disqualified,No response
