index,lead_id,created_date,lead_source,product_line,region,nam_owner,client_type,deal_value_usd,period,lead_status,disqualified_reason,is_deal_value_outlier
26,L-P1-00027,25-01-2024,Existing Client Upsell,Digital Signage,Northeast,D. Singh,Mixed-Use Development,21178,P1,Open,,FALSE
27,L-P1-00028,03-05-2024,Outbound Sdr,Digital Signage,West,T. Chen,Enterprise Business,69079,P1,Qualified,,FALSE
28,L-P1-00029,01-07-2024,Partner Referral,Video Analytics,West,S. Patel,Campus,31022,P1,Disqualified,Wrong fit,FALSE
29,L-P1-00030,17-03-2024,Inbound Web Form,Digital Signage,South,J. Sullivan,Mixed-Use Development,35930,P1,Qualified,,FALSE
30,L-P1-00031,19-12-2024,Inbound Web Form,Smart Lighting,Northeast,K. Romano,Enterprise Business,23461,P1,Open,,FALSE
31,L-P1-00032,21-09-2024,Cold Outreach,Video Analytics,Northeast,J. Sullivan,Enterprise Business,19351,P1,Disqualified,No budget,FALSE
32,L-P1-00033,29-04-2024,Existing Client Upsell,Video Analytics,West,L. Fitzgerald,Campus,34892,P1,Disqualified,No response,FALSE
33,L-P1-00034,15-01-2024,Inbound Web Form,Smart Lighting,Northeast,M. Okafor,Municipality,52124,P1,Open,,FALSE
34,L-P1-00035,21-07-2024,Inbound Web Form,Smart Lighting,Northeast,T. Chen,Enterprise Business,59107,P1,Open,,FALSE
35,L-P1-00036,02-03-2024,Trade Show,Digital Signage,Northeast,L. Fitzgerald,Campus,36118,P1,Qualified,,FALSE
36,L-P1-00037,29-05-2024,Inbound Web Form,Digital Signage,West,R. Alvarez,Multifamily Property,11146,P1,Open,,FALSE
37,L-P1-00038,13-03-2024,Cold Outreach,Smart Lighting,Unknown,L. Fitzgerald,Enterprise Business,45111,P1,Open,,FALSE
38,L-P1-00039,03-08-2024,Cold Outreach,Smart Lighting,South,T. Chen,Enterprise Business,9688,P1,Disqualified,No budget,FALSE
39,L-P1-00040,16-10-2024,Outbound Sdr,Smart Mobility (EV/Parking),West,J. Sullivan,Campus,12659,P1,Disqualified,No budget,FALSE
40,L-P1-00041,27-10-2024,Cold Outreach,Smart Lighting,Northeast,K. Romano,Multifamily Property,17717,P1,Open,,FALSE
41,L-P1-00042,28-02-2024,Outbound Sdr,Video Analytics,Midwest,K. Romano,Enterprise Business,15961,P1,Qualified,,FALSE
42,L-P1-00043,17-08-2024,Partner Referral,Digital Signage,Midwest,D. Singh,Enterprise Business,48246,P1,Qualified,,FALSE
43,L-P1-00044,11-05-2024,Existing Client Upsell,Video Analytics,Midwest,R. Alvarez,Enterprise Business,35938,P1,Open,,FALSE
44,L-P1-00045,12-01-2024,Partner Referral,Smart Lighting,West,R. Alvarez,Campus,40476,P1,Open,,FALSE
45,L-P1-00046,15-04-2024,Inbound Web Form,Digital Signage,Midwest,K. Romano,Municipality,17192,P1,Disqualified,No budget,FALSE
46,L-P1-00047,07-10-2024,Cold Outreach,Smart Mobility (EV/Parking),Northeast,R. Alvarez,Campus,29656,P1,Open,,FALSE
47,L-P1-00048,20-07-2024,Trade Show,Digital Signage,Midwest,R. Alvarez,Campus,61192,P1,Open,,FALSE
48,L-P1-00049,02-06-2024,Cold Outreach,Video Analytics,West,J. Sullivan,Enterprise Business,12217,P1,Open,,FALSE
49,L-P1-00050,13-11-2024,Outbound Sdr,Smart Buildings,South,K. Romano,Campus,19164,P1,Qualified,,FALSE
50,L-P1-00051,06-11-2024,Inbound Web Form,Smart Mobility (EV/Parking),Northeast,T. Chen,Municipality,18603,P1,Qualified,,FALSE
51,L-P1-00052,23-09-2024,Inbound Web Form,Smart Mobility (EV/Parking),Midwest,K. Romano,Municipality,14001,P1,Disqualified,No response,FALSE
52,L-P1-00053,31-05-2024,Inbound Web Form,Smart Lighting,South,J. Sullivan,Municipality,30581,P1,Open,,FALSE
53,L-P1-00054,24-11-2024,Partner Referral,Smart Mobility (EV/Parking),West,T. Chen,Mixed-Use Development,43148,P1,Open,,FALSE
54,L-P1-00055,28-11-2024,Partner Referral,Video Analytics,South,S. Patel,Campus,32182,P1,Open,,FALSE
55,L-P1-00056,26-03-2024,Outbound Sdr,Smart Mobility (EV/Parking),South,K. Romano,Multifamily Property,29500,P1,Qualified,,FALSE
56,L-P1-00057,04-10-2024,Outbound Sdr,Smart Mobility (EV/Parking),Northeast,T. Chen,Multifamily Property,73804,P1,Open,,FALSE
57,L-P1-00058,29-07-2024,Inbound Web Form,Smart Lighting,South,K. Romano,Mixed-Use Development,16760,P1,Disqualified,No budget,FALSE
58,L-P1-00059,03-08-2024,Outbound Sdr,Smart Lighting,South,D. Singh,Municipality,25418,P1,Qualified,,FALSE
59,L-P1-00060,11-03-2024,Partner Referral,Digital Signage,South,T. Chen,Mixed-Use Development,62565,P1,Qualified,,FALSE
60,L-P1-00061,20-04-2024,Partner Referral,Video Analytics,West,J. Sullivan,Municipality,41819,P1,Open,,FALSE
61,L-P1-00062,05-12-2024,Trade Show,Digital Signage,Northeast,S. Patel,Enterprise Business,9629,P1,Open,,FALSE
62,L-P1-00063,07-07-2024,Inbound Web Form,Video Analytics,Northeast,M. Okafor,Campus,130291,P1,Qualified,,TRUE
63,L-P1-00064,21-12-2024,Cold Outreach,Smart Buildings,South,M. Okafor,Mixed-Use Development,51164,P1,Qualified,,FALSE
64,L-P1-00065,05-11-2024,Outbound Sdr,Smart Mobility (EV/Parking),Midwest,D. Singh,Campus,43412,P1,Open,,FALSE
65,L-P1-00066,06-07-2024,Inbound Web Form,Digital Signage,Midwest,S. Patel,Campus,15771,P1,Qualified,,FALSE
66,L-P1-00067,16-06-2024,Trade Show,Smart Mobility (EV/Parking),Midwest,K. Romano,Multifamily Property,17259,P1,Open,,FALSE
67,L-P1-00068,05-06-2024,Cold Outreach,Smart Lighting,Northeast,S. Patel,Campus,60213,P1,Disqualified,Wrong fit,FALSE
68,L-P1-00069,22-11-2024,Existing Client Upsell,Smart Lighting,South,D. Singh,Campus,32697,P1,Open,,FALSE
69,L-P1-00070,21-05-2024,Inbound Web Form,Smart Lighting,South,M. Okafor,Mixed-Use Development,27962,P1,Open,,FALSE
70,L-P1-00071,25-02-2024,Partner Referral,Digital Signage,South,L. Fitzgerald,Enterprise Business,47247,P1,Disqualified,No response,FALSE
71,L-P1-00072,31-03-2024,Partner Referral,Digital Signage,West,S. Patel,Enterprise Business,10459,P1,Open,,FALSE
72,L-P1-00073,07-10-2024,Partner Referral,Smart Mobility (EV/Parking),South,M. Okafor,Campus,37885,P1,Disqualified,No budget,FALSE
73,L-P1-00074,01-01-2024,Inbound Web Form,Digital Signage,Midwest,M. Okafor,Multifamily Property,23239,P1,Qualified,,FALSE
74,L-P1-00075,21-05-2024,Outbound Sdr,Video Analytics,West,S. Patel,Enterprise Business,56105,P1,Qualified,,FALSE
75,L-P1-00076,20-12-2024,Inbound Web Form,Digital Signage,Midwest,R. Alvarez,Multifamily Property,25042,P1,Disqualified,No budget,FALSE
76,L-P1-00077,23-05-2024,Inbound Web Form,Digital Signage,South,L. Fitzgerald,Municipality,18493,P1,Open,,FALSE
77,L-P1-00078,15-02-2024,Trade Show,Video Analytics,Midwest,M. Okafor,Municipality,15500,P1,Disqualified,Wrong fit,FALSE
78,L-P1-00079,17-02-2024,Existing Client Upsell,Smart Lighting,South,M. Okafor,Multifamily Property,39253,P1,Disqualified,Duplicate,FALSE
79,L-P1-00080,02-12-2024,Outbound Sdr,Smart Buildings,Northeast,R. Alvarez,Mixed-Use Development,9157,P1,Disqualified,No response,FALSE
80,L-P1-00081,20-05-2024,Outbound Sdr,Smart Buildings,Northeast,J. Sullivan,Enterprise Business,78084,P1,Disqualified,Duplicate,FALSE
81,L-P1-00082,13-09-2024,Outbound Sdr,Smart Buildings,South,L. Fitzgerald,Campus,25910,P1,Open,,FALSE
82,L-P1-00083,12-05-2024,Existing Client Upsell,Smart Lighting,Midwest,J. Sullivan,Municipality,35029,P1,Open,,FALSE
83,L-P1-00084,09-03-2024,Trade Show,Smart Lighting,Northeast,L. Fitzgerald,Enterprise Business,8494,P1,Disqualified,No response,FALSE
84,L-P1-00085,17-01-2024,Outbound Sdr,Digital Signage,South,S. Patel,Mixed-Use Development,14889,P1,Qualified,,FALSE
85,L-P1-00086,15-12-2024,Cold Outreach,Smart Buildings,Midwest,J. Sullivan,Municipality,223678,P1,Qualified,,TRUE
86,L-P1-00087,22-02-2024,Outbound Sdr,Smart Mobility (EV/Parking),Northeast,T. Chen,Municipality,29213,P1,Open,,FALSE
87,L-P1-00088,13-01-2024,Existing Client Upsell,Smart Lighting,South,T. Chen,Multifamily Property,37780,P1,Open,,FALSE
88,L-P1-00089,08-11-2024,Inbound Web Form,Smart Lighting,South,T. Chen,Municipality,10139,P1,Disqualified,Wrong fit,FALSE
89,L-P1-00090,03-12-2024,Partner Referral,Smart Buildings,South,K. Romano,Mixed-Use Development,8000,P1,Disqualified,Duplicate,FALSE
90,L-P1-00091,29-09-2024,Cold Outreach,Smart Buildings,South,M. Okafor,Multifamily Property,15741,P1,Open,,FALSE
91,L-P1-00092,06-08-2024,Existing Client Upsell,Smart Mobility (EV/Parking),South,T. Chen,Mixed-Use Development,51581,P1,Disqualified,No response,FALSE
92,L-P1-00093,16-03-2024,Outbound Sdr,Smart Buildings,Northeast,R. Alvarez,Municipality,52420,P1,Open,,FALSE
93,L-P1-00094,08-06-2024,Inbound Web Form,Digital Signage,Midwest,K. Romano,Municipality,14481,P1,Disqualified,No response,FALSE
94,L-P1-00095,01-03-2024,Existing Client Upsell,Digital Signage,South,S. Patel,Multifamily Property,18464,P1,Qualified,,FALSE
95,L-P1-00096,06-12-2024,Inbound Web Form,Digital Signage,Northeast,L. Fitzgerald,Enterprise Business,27000,P1,Disqualified,Wrong fit,FALSE
96,L-P1-00097,30-07-2024,Trade Show,Smart Mobility (EV/Parking),Midwest,D. Singh,Multifamily Property,8000,P1,Qualified,,FALSE
97,L-P1-00098,30-09-2024,Partner Referral,Video Analytics,Northeast,S. Patel,Campus,30505,P1,Open,,FALSE
98,L-P1-00099,02-01-2024,Outbound Sdr,Smart Lighting,Midwest,K. Romano,Mixed-Use Development,46335,P1,Open,,FALSE
99,L-P1-00100,08-08-2024,Outbound Sdr,Digital Signage,Northeast,K. Romano,Campus,50049,P1,Open,,FALSE
100,L-P1-00101,12-06-2024,Outbound Sdr,Digital Signage,Northeast,S. Patel,Multifamily Property,30163,P1,Open,,FALSE
101,L-P1-00102,26-11-2024,Inbound Web Form,Smart Lighting,West,D. Singh,Campus,19611,P1,Disqualified,Wrong fit,FALSE
102,L-P1-00103,18-04-2024,Outbound Sdr,Smart Lighting,South,S. Patel,Multifamily Property,30374,P1,Disqualified,No response,FALSE
103,L-P1-00104,06-01-2024,Outbound Sdr,Digital Signage,Midwest,J. Sullivan,Municipality,20686,P1,Disqualified,No response,FALSE
104,L-P1-00105,06-01-2024,Inbound Web Form,Smart Buildings,Midwest,M. Okafor,Municipality,12146,P1,Open,,FALSE
105,L-P1-00106,29-05-2024,Inbound Web Form,Digital Signage,Northeast,J. Sullivan,Multifamily Property,19163,P1,Disqualified,Wrong fit,FALSE
106,L-P1-00107,10-09-2024,Existing Client Upsell,Smart Lighting,Northeast,S. Patel,Enterprise Business,20669,P1,Qualified,,FALSE
107,L-P1-00108,07-01-2024,Inbound Web Form,Smart Buildings,South,M. Okafor,Enterprise Business,129327,P1,Disqualified,Wrong fit,TRUE
108,L-P1-00109,05-08-2024,Outbound Sdr,Smart Buildings,Northeast,D. Singh,Enterprise Business,17170,P1,Qualified,,FALSE
109,L-P1-00110,21-04-2024,Trade Show,Smart Buildings,South,L. Fitzgerald,Mixed-Use Development,26980,P1,Qualified,,FALSE
110,L-P1-00111,12-11-2024,Existing Client Upsell,Digital Signage,Midwest,S. Patel,Campus,23006,P1,Qualified,,FALSE
111,L-P1-00112,15-09-2024,Existing Client Upsell,Video Analytics,South,J. Sullivan,Municipality,27634,P1,Open,,FALSE
112,L-P1-00113,07-02-2024,Inbound Web Form,Digital Signage,West,M. Okafor,Enterprise Business,33735,P1,Qualified,,FALSE
113,L-P1-00114,19-02-2024,Partner Referral,Smart Mobility (EV/Parking),West,T. Chen,Municipality,10948,P1,Disqualified,No response,FALSE
114,L-P1-00115,16-04-2024,Inbound Web Form,Smart Buildings,West,R. Alvarez,Multifamily Property,18103,P1,Qualified,,FALSE
115,L-P1-00116,25-09-2024,Outbound Sdr,Smart Buildings,Midwest,S. Patel,Municipality,28005,P1,Open,,FALSE
116,L-P1-00117,18-05-2024,Existing Client Upsell,Smart Buildings,South,D. Singh,Enterprise Business,33217,P1,Open,,FALSE
117,L-P1-00118,01-10-2024,Partner Referral,Smart Buildings,Midwest,S. Patel,Municipality,53818,P1,Disqualified,No budget,FALSE
118,L-P1-00119,05-11-2024,Inbound Web Form,Smart Mobility (EV/Parking),West,T. Chen,Mixed-Use Development,48404,P1,Qualified,,FALSE
119,L-P1-00120,22-05-2024,Trade Show,Digital Signage,Northeast,S. Patel,Mixed-Use Development,8238,P1,Open,,FALSE
120,L-P1-00121,29-07-2024,Partner Referral,Digital Signage,West,S. Patel,Campus,91951,P1,Open,,TRUE
121,L-P1-00122,09-08-2024,Inbound Web Form,Smart Buildings,Northeast,M. Okafor,Municipality,21271,P1,Qualified,,FALSE
122,L-P1-00123,16-11-2024,Outbound Sdr,Smart Lighting,Northeast,K. Romano,Multifamily Property,604276,P1,Disqualified,No response,TRUE
123,L-P1-00124,04-10-2024,Partner Referral,Smart Buildings,West,L. Fitzgerald,Enterprise Business,86953,P1,Open,,TRUE
124,L-P1-00125,19-04-2024,Partner Referral,Digital Signage,Midwest,R. Alvarez,Enterprise Business,16450,P1,Open,,FALSE
125,L-P1-00126,09-11-2024,Existing Client Upsell,Smart Lighting,Northeast,D. Singh,Multifamily Property,23837,P1,Disqualified,Duplicate,FALSE
126,L-P1-00127,25-11-2024,Inbound Web Form,Smart Buildings,West,T. Chen,Mixed-Use Development,35822,P1,Disqualified,No response,FALSE
127,L-P1-00128,01-05-2024,Trade Show,Smart Lighting,Midwest,M. Okafor,Multifamily Property,111984,P1,Qualified,,TRUE
128,L-P1-00129,28-04-2024,Outbound Sdr,Digital Signage,Unknown,J. Sullivan,Mixed-Use Development,40318,P1,Open,,FALSE
129,L-P1-00130,19-12-2024,Outbound Sdr,Digital Signage,Northeast,K. Romano,Multifamily Property,28178,P1,Open,,FALSE
130,L-P1-00131,29-08-2024,Inbound Web Form,Smart Lighting,West,J. Sullivan,Multifamily Property,29742,P1,Open,,FALSE
131,L-P1-00132,01-03-2024,Trade Show,Smart Mobility (EV/Parking),West,K. Romano,Enterprise Business,25138,P1,Open,,FALSE
132,L-P1-00133,10-06-2024,Existing Client Upsell,Smart Mobility (EV/Parking),Northeast,D. Singh,Enterprise Business,26543,P1,Qualified,,FALSE
133,L-P1-00134,07-05-2024,Outbound Sdr,Video Analytics,West,S. Patel,Enterprise Business,42260,P1,Disqualified,Duplicate,FALSE
134,L-P1-00135,04-09-2024,Trade Show,Smart Buildings,Midwest,L. Fitzgerald,Municipality,51589,P1,Qualified,,FALSE
135,L-P1-00136,10-01-2024,Existing Client Upsell,Video Analytics,South,K. Romano,Municipality,39586,P1,Qualified,,FALSE
136,L-P1-00137,26-08-2024,Cold Outreach,Digital Signage,Northeast,J. Sullivan,Mixed-Use Development,12647,P1,Qualified,,FALSE
137,L-P1-00138,14-09-2024,Existing Client Upsell,Smart Buildings,South,T. Chen,Municipality,15449,P1,Open,,FALSE
138,L-P1-00139,22-01-2024,Trade Show,Smart Buildings,West,T. Chen,Multifamily Property,24093,P1,Open,,FALSE
139,L-P1-00140,08-01-2024,Inbound Web Form,Smart Lighting,West,S. Patel,Campus,28147,P1,Qualified,,FALSE
140,L-P1-00141,28-01-2024,Trade Show,Smart Lighting,Northeast,S. Patel,Municipality,17763,P1,Disqualified,Wrong fit,FALSE
141,L-P1-00142,09-03-2024,Outbound Sdr,Smart Lighting,West,T. Chen,Campus,44427,P1,Disqualified,Wrong fit,FALSE
142,L-P1-00143,31-12-2024,Existing Client Upsell,Smart Mobility (EV/Parking),South,M. Okafor,Campus,17971,P1,Disqualified,Wrong fit,FALSE
143,L-P1-00144,19-03-2024,Partner Referral,Smart Lighting,South,T. Chen,Mixed-Use Development,17984,P1,Open,,FALSE
144,L-P1-00145,09-12-2024,Partner Referral,Digital Signage,Midwest,J. Sullivan,Municipality,15074,P1,Disqualified,No budget,FALSE
145,L-P1-00146,02-01-2024,Partner Referral,Digital Signage,Unknown,M. Okafor,Enterprise Business,30047,P1,Open,,FALSE
146,L-P1-00147,04-09-2024,Inbound Web Form,Smart Mobility (EV/Parking),Midwest,R. Alvarez,Municipality,14839,P1,Disqualified,Wrong fit,FALSE
147,L-P1-00148,12-02-2024,Inbound Web Form,Smart Lighting,Northeast,L. Fitzgerald,Mixed-Use Development,38289,P1,Open,,FALSE
148,L-P1-00149,17-10-2024,Inbound Web Form,Smart Mobility (EV/Parking),West,R. Alvarez,Enterprise Business,29436,P1,Qualified,,FALSE
149,L-P1-00150,03-02-2024,Outbound Sdr,Smart Lighting,Midwest,S. Patel,Municipality,37460,P1,Open,,FALSE
150,L-P1-00151,23-04-2024,Outbound Sdr,Video Analytics,South,M. Okafor,Campus,24190,P1,Qualified,,FALSE
151,L-P1-00152,31-05-2024,Outbound Sdr,Smart Buildings,West,L. Fitzgerald,Municipality,20596,P1,Disqualified,No budget,FALSE
152,L-P1-00153,07-12-2024,Partner Referral,Digital Signage,South,S. Patel,Municipality,16017,P1,Open,,FALSE
153,L-P1-00154,14-08-2024,Inbound Web Form,Smart Mobility (EV/Parking),West,R. Alvarez,Multifamily Property,34503,P1,Qualified,,FALSE
154,L-P1-00155,12-07-2024,Existing Client Upsell,Digital Signage,Northeast,K. Romano,Enterprise Business,52805,P1,Qualified,,FALSE
155,L-P1-00156,09-01-2024,Partner Referral,Smart Lighting,West,D. Singh,Enterprise Business,73090,P1,Open,,FALSE
156,L-P1-00157,03-05-2024,Existing Client Upsell,Video Analytics,Midwest,D. Singh,Campus,26885,P1,Disqualified,Duplicate,FALSE
157,L-P1-00158,25-06-2024,Inbound Web Form,Smart Lighting,Northeast,K. Romano,Mixed-Use Development,11936,P1,Open,,FALSE
158,L-P1-00159,30-01-2024,Inbound Web Form,Smart Buildings,Midwest,J. Sullivan,Multifamily Property,13752,P1,Open,,FALSE
159,L-P1-00160,05-12-2024,Outbound Sdr,Smart Mobility (EV/Parking),Northeast,R. Alvarez,Municipality,43765,P1,Disqualified,Wrong fit,FALSE
160,L-P1-00161,19-12-2024,Outbound Sdr,Smart Buildings,South,D. Singh,Municipality,30606,P1,Qualified,,FALSE
161,L-P1-00162,17-02-2024,Cold Outreach,Smart Lighting,West,L. Fitzgerald,Multifamily Property,13581,P1,Qualified,,FALSE
162,L-P1-00163,03-04-2024,Inbound Web Form,Digital Signage,West,T. Chen,Multifamily Property,42325,P1,Open,,FALSE
163,L-P1-00164,15-09-2024,Outbound Sdr,Smart Buildings,South,D. Singh,Municipality,118438,P1,Disqualified,Duplicate,TRUE
164,L-P1-00165,04-12-2024,Partner Referral,Digital Signage,West,Unassigned,Municipality,9729,P1,Qualified,,FALSE
165,L-P1-00166,21-10-2024,Trade Show,Smart Buildings,Northeast,M. Okafor,Enterprise Business,35794,P1,Open,,FALSE
166,L-P1-00167,20-08-2024,Existing Client Upsell,Smart Mobility (EV/Parking),West,L. Fitzgerald,Campus,23523,P1,Open,,FALSE
167,L-P1-00168,19-05-2024,Inbound Web Form,Smart Buildings,South,J. Sullivan,Campus,21534,P1,Disqualified,No budget,FALSE
168,L-P1-00169,03-01-2024,Trade Show,Video Analytics,West,J. Sullivan,Multifamily Property,14670,P1,Open,,FALSE
169,L-P1-00170,25-11-2024,Cold Outreach,Video Analytics,South,J. Sullivan,Municipality,8000,P1,Qualified,,FALSE
170,L-P1-00171,02-08-2024,Trade Show,Smart Mobility (EV/Parking),Northeast,K. Romano,Enterprise Business,9420,P1,Qualified,,FALSE
171,L-P1-00172,27-05-2024,Inbound Web Form,Smart Mobility (EV/Parking),South,K. Romano,Municipality,24563,P1,Open,,FALSE
172,L-P1-00173,11-11-2024,Inbound Web Form,Video Analytics,Midwest,J. Sullivan,Multifamily Property,11249,P1,Disqualified,No response,FALSE
173,L-P1-00174,30-07-2024,Outbound Sdr,Smart Mobility (EV/Parking),West,M. Okafor,Campus,11001,P1,Qualified,,FALSE
174,L-P1-00175,17-10-2024,Inbound Web Form,Smart Lighting,South,R. Alvarez,Enterprise Business,134500,P1,Disqualified,Duplicate,TRUE
175,L-P1-00176,29-11-2024,Outbound Sdr,Video Analytics,West,S. Patel,Mixed-Use Development,13255,P1,Disqualified,No budget,FALSE
176,L-P1-00177,26-10-2024,Partner Referral,Smart Mobility (EV/Parking),West,D. Singh,Municipality,94787,P1,Disqualified,Wrong fit,TRUE
177,L-P1-00178,29-12-2024,Cold Outreach,Smart Buildings,Northeast,S. Patel,Multifamily Property,13265,P1,Open,,FALSE
178,L-P1-00179,31-10-2024,Partner Referral,Smart Buildings,South,S. Patel,Multifamily Property,16242,P1,Open,,FALSE
179,L-P1-00180,25-06-2024,Cold Outreach,Smart Lighting,Northeast,K. Romano,Mixed-Use Development,26538,P1,Open,,FALSE
180,L-P1-00181,10-11-2024,Partner Referral,Video Analytics,Northeast,R. Alvarez,Enterprise Business,57911,P1,Disqualified,Duplicate,FALSE
181,L-P1-00182,24-07-2024,Outbound Sdr,Video Analytics,Northeast,T. Chen,Multifamily Property,39745,P1,Disqualified,No response,FALSE
182,L-P1-00183,25-03-2024,Trade Show,Smart Mobility (EV/Parking),South,M. Okafor,Campus,23759,P1,Open,,FALSE
183,L-P1-00184,14-05-2024,Inbound Web Form,Smart Mobility (EV/Parking),Midwest,S. Patel,Enterprise Business,41544,P1,Open,,FALSE
184,L-P1-00185,27-10-2024,Outbound Sdr,Smart Mobility (EV/Parking),West,S. Patel,Campus,83671,P1,Qualified,,TRUE
185,L-P1-00186,26-08-2024,Partner Referral,Smart Lighting,Northeast,M. Okafor,Campus,31860,P1,Open,,FALSE
186,L-P1-00187,14-03-2024,Outbound Sdr,Smart Buildings,Unknown,J. Sullivan,Enterprise Business,36781,P1,Qualified,,FALSE
187,L-P1-00188,18-03-2024,Trade Show,Smart Mobility (EV/Parking),South,J. Sullivan,Multifamily Property,9408,P1,Disqualified,Duplicate,FALSE
188,L-P1-00189,16-05-2024,Existing Client Upsell,Smart Lighting,South,S. Patel,Mixed-Use Development,15733,P1,Open,,FALSE
189,L-P1-00190,14-05-2024,Partner Referral,Smart Buildings,South,S. Patel,Mixed-Use Development,38693,P1,Disqualified,No response,FALSE
190,L-P1-00191,16-08-2024,Outbound Sdr,Digital Signage,West,J. Sullivan,Enterprise Business,82984,P1,Qualified,,TRUE
191,L-P1-00192,27-09-2024,Trade Show,Smart Lighting,Northeast,M. Okafor,Enterprise Business,8091,P1,Open,,FALSE
192,L-P1-00193,27-04-2024,Outbound Sdr,Video Analytics,South,M. Okafor,Campus,31599,P1,Open,,FALSE
193,L-P1-00194,02-03-2024,Outbound Sdr,Digital Signage,Northeast,K. Romano,Enterprise Business,40935,P1,Open,,FALSE
194,L-P1-00195,20-11-2024,Existing Client Upsell,Digital Signage,Unknown,K. Romano,Municipality,55822,P1,Open,,FALSE
195,L-P1-00196,07-10-2024,Partner Referral,Smart Mobility (EV/Parking),Midwest,S. Patel,Municipality,10239,P1,Open,,FALSE
196,L-P1-00197,28-01-2024,Trade Show,Video Analytics,Northeast,L. Fitzgerald,Municipality,14267,P1,Disqualified,No budget,FALSE
197,L-P1-00198,24-10-2024,Outbound Sdr,Smart Buildings,West,L. Fitzgerald,Campus,37846,P1,Disqualified,Wrong fit,FALSE
198,L-P1-00199,08-08-2024,Partner Referral,Smart Lighting,Midwest,R. Alvarez,Mixed-Use Development,12165,P1,Open,,FALSE
199,L-P1-00200,16-09-2024,Partner Referral,Video Analytics,Midwest,M. Okafor,Enterprise Business,25871,P1,Disqualified,Wrong fit,FALSE
